date,turnoverVol,CHG,CHGPct,openIndex,highestIndex,lowestIndex,closeIndex
2009-12-31,137940000.0,-120.45997,-1.142,10548.50977,10555.00977,10423.12988,10428.0498
2010-01-04,179780000.0,155.91016,1.4951,10430.69043,10604.96973,10430.69043,10583.95996
2010-01-05,188540000.0,-11.94043,-0.1128,10584.55957,10584.55957,10522.51953,10572.01953
2010-01-06,186040000.0,1.66016,0.0157,10564.71973,10594.99023,10546.5498,10573.67969
2010-01-07,217390000.0,33.18066,0.3138,10571.11035,10612.37012,10505.20996,10606.86035
2010-01-08,172710000.0,11.33008,0.1068,10606.40039,10619.40039,10554.33008,10618.19043
2010-01-11,182050000.0,45.7998,0.4313,10620.30957,10676.23047,10591.58984,10663.99023
2010-01-12,256050000.0,-36.73046,-0.3444,10662.86035,10663.08008,10568.83984,10627.25977
2010-01-13,202810000.0,53.50976,0.5035,10628.08984,10709.25977,10614.49023,10680.76953
2010-01-14,201320000.0,29.78027,0.2788,10680.16016,10723.76953,10666.86035,10710.5498
2010-01-15,362930000.0,-100.89941,-0.9421,10706.99023,10709.94043,10561.05957,10609.65039
2010-01-19,192150000.0,115.7793,1.0913,10608.37012,10729.88965,10591.96973,10725.42969
2010-01-20,203270000.0,-122.2793,-1.1401,10719.69043,10719.91992,10517.2998,10603.15039
2010-01-21,304290000.0,-213.27051,-2.0114,10603.91016,10614.94043,10374.69043,10389.87988
2010-01-22,323620000.0,-216.89941,-2.0876,10389.58008,10389.58008,10157.63965,10172.98047
2010-01-25,215330000.0,23.87988,0.2347,10175.09961,10256.87012,10171.76953,10196.86035
2010-01-26,217300000.0,-2.57031,-0.0252,10195.34961,10285.12988,10155.59961,10194.29004
2010-01-27,262170000.0,41.87012,0.4107,10194.29004,10255.05957,10104.36035,10236.16016
2010-01-28,240050000.0,-115.7002,-1.1303,10236.91992,10258.83008,10055.08008,10120.45996
2010-01-29,316900000.0,-53.12988,-0.525,10122.04004,10239.33984,10043.75,10067.33008
2010-02-01,198430000.0,118.20019,1.1741,10068.99023,10190.88965,10068.91016,10185.53027
2010-02-02,237140000.0,111.31934,1.0929,10186.12988,10314.83984,10173.58984,10296.84961
2010-02-03,198940000.0,-26.29981,-0.2554,10291.73047,10307.2002,10231.92969,10270.5498
2010-02-04,304240000.0,-268.37011,-2.613,10273.12012,10273.12012,9998.03027,10002.17969
2010-02-05,308320000.0,10.05078,0.1005,10003.69043,10031.95996,9835.08984,10012.23047
2010-02-08,216270000.0,-103.84082,-1.0371,10005.42969,10028.55957,9904.08984,9908.38965
2010-02-09,236210000.0,150.25,1.5164,9910.28027,10139.42969,9910.05957,10058.63965
2010-02-10,178600000.0,-20.25977,-0.2014,10055.45996,10085.54004,9962.95996,10038.37988
2010-02-11,194470000.0,105.81055,1.0541,10037.84961,10161.57031,9976.70996,10144.19043
2010-02-12,296510000.0,-45.05078,-0.4441,10137.23047,10137.38965,9983.82031,10099.13965
2010-02-16,234900000.0,169.66992,1.68,10100.80957,10279.54004,10100.80957,10268.80957
2010-02-17,193270000.0,40.43066,0.3937,10261.48047,10320.12988,10261.48047,10309.24023
2010-02-18,185310000.0,83.66016,0.8115,10309.38965,10406.58008,10294.50977,10392.90039
2010-02-19,241750000.0,9.44922,0.0909,10387.76953,10438.5498,10339.16992,10402.34961
2010-02-22,158440000.0,-18.96973,-0.1824,10402.42969,10433.63965,10368.9502,10383.37988
2010-02-23,190740000.0,-100.96972,-0.9724,10383.16016,10411.12012,10267.83008,10282.41016
2010-02-24,181450000.0,91.75,0.8923,10284.0,10393.50977,10283.92969,10374.16016
2010-02-25,242550000.0,-53.12989,-0.5121,10366.59961,10366.67969,10185.83008,10321.03027
2010-02-26,282120000.0,4.2295,0.041,10321.41016,10353.4502,10272.29004,10325.25977
2010-03-01,173750000.0,78.53027,0.7606,10326.09961,10413.99023,10326.09961,10403.79004
2010-03-02,217180000.0,2.19043,0.0211,10404.16016,10456.91992,10389.42969,10405.98047
2010-03-03,183290000.0,-9.2207,-0.0886,10406.28027,10469.54004,10376.58008,10396.75977
2010-03-04,165740000.0,47.37988,0.4557,10396.53027,10452.37988,10390.86035,10444.13965
2010-03-05,184270000.0,122.06055,1.1687,10445.12988,10571.94043,10445.0498,10566.2002
2010-03-08,171780000.0,-13.68067,-0.1295,10563.78027,10587.74023,10542.38965,10552.51953
2010-03-09,219860000.0,11.86035,0.1124,10552.24023,10612.59961,10533.92969,10564.37988
2010-03-10,186570000.0,2.9502,0.0279,10560.12988,10601.79004,10526.51953,10567.33008
2010-03-11,150000000.0,44.50976,0.4212,10560.98047,10611.83984,10507.16992,10611.83984
2010-03-12,166140000.0,12.85059,0.1211,10611.76953,10644.9502,10594.83984,10624.69043
2010-03-15,160570000.0,17.45996,0.1643,10623.41016,10644.19043,10570.50977,10642.15039
2010-03-16,227410000.0,43.83008,0.4119,10642.53027,10693.99023,10621.90039,10685.98047
2010-03-17,194190000.0,47.68945,0.4463,10686.36035,10767.98047,10686.36035,10733.66992
2010-03-18,153280000.0,45.5,0.4239,10733.44043,10784.0,10728.15039,10779.16992
2010-03-19,434190000.0,-37.18945,-0.345,10780.0,10819.90039,10694.21973,10741.98047
2010-03-22,157200000.0,43.90918,0.4088,10741.0,10809.84961,10695.12988,10785.88965
2010-03-23,189140000.0,102.94043,0.9544,10787.17969,10893.88965,10784.75977,10888.83008
2010-03-24,195570000.0,-52.67969,-0.4838,10887.62012,10887.83984,10825.41992,10836.15039
2010-03-25,200330000.0,5.05957,0.0467,10837.50977,10955.48047,10834.19043,10841.20996
2010-03-26,175490000.0,9.15039,0.0844,10841.29004,10909.37988,10816.42969,10850.36035
2010-03-29,136710000.0,45.5,0.4193,10849.23047,10916.63965,10849.23047,10895.86035
2010-03-30,148810000.0,11.55957,0.1061,10895.01953,10940.21973,10866.83008,10907.41992
2010-03-31,197060000.0,-50.79004,-0.4656,10907.33984,10907.41992,10832.83008,10856.62988
2010-04-01,159520000.0,70.44043,0.6488,10857.30957,10956.38965,10857.30957,10927.07031
2010-04-05,139480000.0,46.47949,0.4254,10927.4502,10988.05957,10923.96973,10973.5498
2010-04-06,159960000.0,-3.55957,-0.0324,10972.49023,10987.37988,10927.51953,10969.99023
2010-04-07,187000000.0,-72.4707,-0.6606,10961.9502,10962.66016,10845.4502,10897.51953
2010-04-08,158930000.0,29.55078,0.2712,10896.99023,10949.36035,10844.08984,10927.07031
2010-04-09,150660000.0,70.2793,0.6432,10926.91992,11000.98047,10926.91992,10997.34961
2010-04-12,153960000.0,8.62012,0.0784,10996.75,11029.76953,10992.20996,11005.96973
2010-04-13,183950000.0,13.45019,0.1222,11006.71973,11038.91992,10947.76953,11019.41992
2010-04-14,223920000.0,103.69043,0.941,11020.7002,11125.21973,11020.62988,11123.11035
2010-04-15,203720000.0,21.45996,0.1929,11122.95996,11154.5498,11096.2002,11144.57031
2010-04-16,373950000.0,-125.91015,-1.1298,11143.66016,11153.79004,10973.91992,11018.66016
2010-04-19,214850000.0,73.38964,0.666,11018.36035,11095.2998,10977.84961,11092.0498
2010-04-20,175170000.0,25.00977,0.2255,11093.11035,11146.08008,11081.46973,11117.05957
