date,CHG,CHGPct,highestIndex,lowestIndex,openIndex,closeIndex
1991/7/31,18,0.451,4010,3973,3996,4009
1991/8/1,21,0.5238,4033,4004,4012,4030
1991/8/2,29,0.7196,4063,4033,4033,4059
1991/8/5,4,0.0985,4076,4050,4060,4063
1991/8/6,-42,-1.0337,4069,4021,4063,4021
1991/8/7,40,0.9948,4067,4017,4021,4061
1991/8/8,-15,-0.3694,4074,4031,4061,4046
1991/8/9,-22,-0.5437,4050,3996,4046,4024
1991/8/12,46,1.1431,4079,4024,4024,4070
1991/8/13,-18,-0.4423,4069,4044,4069,4052
1991/8/14,27,0.6663,4088,4050,4050,4079
1991/8/15,-6,-0.1471,4085,4071,4082,4073
1991/8/16,-10,-0.2455,4073,4056,4073,4063
1991/8/19,-341,-8.3928,4056,3708,4056,3722
1991/8/20,126,3.3853,3848,3723,3723,3848
1991/8/21,15,0.3898,3865,3794,3848,3863
1991/8/22,182,4.7114,4094,3996,3996,4045
1991/8/23,-24,-0.5933,4048,4009,4045,4021
1991/8/27,-40,-0.9948,4045,3963,4021,3981
1991/8/28,-13,-0.3266,3994,3958,3982,3968
1991/8/29,-8,-0.2016,3985,3946,3968,3960
1991/8/30,38,0.9596,3998,3960,3960,3998
1991/9/2,25,0.6253,4032,3998,3998,4023
1991/9/3,2,0.0497,4033,4008,4023,4025
1991/9/4,-19,-0.472,4030,4003,4026,4006
1991/9/5,-16,-0.3994,4009,3980,4006,3990
1991/9/6,-20,-0.5013,3991,3969,3990,3970
1991/9/9,-30,-0.7557,3984,3939,3970,3940
1991/9/10,19,0.4822,3959,3931,3940,3959
1991/9/11,7,0.1768,3975,3958,3959,3966
1991/9/12,4,0.1009,3977,3966,3966,3970
1991/9/13,4,0.1008,3976,3956,3957,3974
1991/9/16,-21,-0.5284,3988,3945,3971,3953
1991/9/17,-15,-0.3795,3959,3926,3953,3938
1991/9/18,-38,-0.965,3942,3900,3938,3900
1991/9/19,-37,-0.9487,3899,3863,3899,3863
1991/9/20,47,1.2167,3930,3858,3858,3910
1991/9/24,-6,-0.1535,3916,3898,3910,3904
1991/9/25,-3,-0.0768,3912,3897,3902,3901
1991/9/26,26,0.6665,3940,3901,3901,3927
1991/9/27,11,0.2801,3947,3926,3927,3938
1991/9/30,18.7,0.4749,3964.6,3940.8,3940.8,3956.7
1991/10/3,136.7,3.4549,4093.4,4069.1,4069.1,4093.4
1991/10/4,-25.7,-0.6278,4087.9,4063.2,4081,4067.7
1991/10/7,-7.3,-0.1795,4076.1,4049,4073.1,4060.4
1991/10/8,6.5,0.1601,4066.9,4040.1,4060.4,4066.9
1991/10/9,9.5,0.2336,4089,4043.6,4065,4076.4
1991/10/10,-20.2,-0.4955,4091.6,4056.2,4080.7,4056.2
1991/10/11,-38.2,-0.9418,4052.2,4007.5,4052.2,4018
1991/10/14,4.2,0.1045,4035.4,3996.7,4018,4022.2
1991/10/15,11.6,0.2884,4044.2,4023.2,4023.2,4033.8
1991/10/17,-15.4,-0.3818,4053.2,4011.1,4037.3,4018.4
1991/10/18,-2.5,-0.0622,4023.8,3993.7,4018.4,4015.9
1991/10/21,-17.2,-0.4283,4032.4,3996.5,4015.9,3998.7
1991/10/22,-17,-0.4251,3997.9,3977.9,3997.9,3981.7
1991/10/23,39.7,0.9971,4024.5,3980.5,3985.2,4021.4
1991/10/24,-32.1,-0.7982,4050.1,3989.3,4036.1,3989.3
1991/10/25,-17.4,-0.4362,3992.9,3969.1,3989.3,3971.9
1991/10/28,16.7,0.4205,3993.4,3969.5,3971.3,3988.6
1991/10/29,11.5,0.2883,4020.6,3988.8,3988.8,4000.1
1991/10/30,19.9,0.4975,4030.5,4000.3,4000.3,4020
1991/10/31,18.7,0.4652,4053.4,4017.5,4020,4038.7
1991/11/1,-0.9,-0.0223,4047.5,4028.2,4041.4,4037.8
1991/11/4,45.2,1.1194,4085.4,4038.5,4038.5,4083
1991/11/5,63.5,1.5552,4149.4,4083,4083,4146.5
1991/11/6,27.1,0.6536,4185,4156.7,4156.7,4173.6
1991/11/7,11.1,0.266,4184.7,4152.6,4165.2,4184.7
1991/11/8,51.9,1.2402,4236.6,4187.3,4187.3,4236.6
1991/11/11,-5.7,-0.1345,4265.4,4219.7,4220.4,4230.9
1991/11/12,22.1,0.5223,4253.8,4166.6,4220.3,4253
1991/11/13,-12.7,-0.2986,4279.1,4229.8,4255.1,4240.3
1991/11/14,-29,-0.6839,4241.1,4198.7,4240.3,4211.3
1991/11/15,60,1.4247,4275,4208.5,4211.3,4271.3
1991/11/18,-73.1,-1.7114,4231.9,4152.1,4228.2,4198.2
1991/11/19,63,1.5006,4280.8,4208.1,4208.1,4261.2
1991/11/20,-60.3,-1.4151,4250.2,4200.9,4250.2,4200.9
1991/11/21,33.7,0.8022,4247.5,4206.7,4207.1,4234.6
1991/11/22,8.5,0.2007,4243.6,4223.5,4230.6,4243.1
1991/11/25,-22.4,-0.5279,4240.7,4210.5,4238,4220.7
1991/11/26,-18.6,-0.4407,4232,4202.1,4216.2,4202.1
1991/11/27,-22.8,-0.5426,4208.8,4162.7,4202.1,4179.3
1991/11/28,-33.7,-0.8064,4177.3,4121.5,4177.3,4145.6
1991/11/29,4.2,0.1013,4165.4,4143.6,4146.1,4149.8
1991/12/2,-55.4,-1.335,4149.8,4084.3,4149.8,4094.4
1991/12/3,30,0.7327,4147.2,4105.6,4105.6,4124.4
1991/12/4,37.2,0.9019,4173.4,4121.3,4125.8,4161.6
1991/12/5,-4.4,-0.1057,4161.6,4151.5,4161.6,4157.2
1991/12/6,32.8,0.789,4191.9,4137.6,4145.5,4190
1991/12/9,13.2,0.315,4209,4184,4188.2,4203.2
1991/12/10,-74.9,-1.782,4199,4128.3,4199,4128.3
1991/12/11,-31.1,-0.7533,4124.5,4086.5,4124.5,4097.2
1991/12/12,-1.2,-0.0293,4129.9,4092.7,4099.1,4096
1991/12/13,59.5,1.4526,4167.2,4117.4,4117.4,4155.5
1991/12/16,16.2,0.3898,4172.4,4156.2,4156.2,4171.7
1991/12/17,13.3,0.3188,4187.9,4158.8,4171.7,4185
1991/12/18,-7.3,-0.1744,4193.7,4171.1,4184,4177.7
1991/12/19,5.1,0.1221,4188.8,4176.8,4177.7,4182.8
1991/12/20,-40.2,-0.9611,4183.6,4141.2,4182.8,4142.6
1991/12/23,3.5,0.0845,4168.6,4142.6,4142.6,4146.1
1991/12/24,46.7,1.1264,4194.9,4155.9,4155.9,4192.8
1991/12/27,43.4,1.0351,4242.4,4192.8,4192.8,4236.2
1991/12/30,39,0.9206,4277.7,4240.5,4240.5,4275.2
1991/12/31,22.1,0.5169,4309.3,4284.3,4285,4297.3
1992/1/2,4.5,0.1047,4316.6,4284.1,4297.3,4301.8
1992/1/3,5.3,0.1232,4311.8,4294.2,4301.8,4307.1
1992/1/6,-0.1,-0.0023,4330.9,4297.7,4319.7,4307
1992/1/7,40.9,0.9496,4356.8,4303.5,4307,4347.9
1992/1/8,-10.2,-0.2346,4373.7,4328.5,4347.9,4337.7
1992/1/9,-3.2,-0.0738,4342.4,4326.2,4340.6,4334.5
1992/1/10,14.4,0.3322,4368.6,4334.9,4334.9,4348.9
1992/1/13,-23,-0.5289,4353.9,4319.1,4348,4325.9
1992/1/14,41.7,0.964,4373.5,4322,4326.8,4367.6
1992/1/15,15.1,0.3457,4420.1,4371.8,4393.7,4382.7
1992/1/16,29.4,0.6708,4424.3,4383.6,4383.6,4412.1
