date,turnoverVol,CHG,CHGPct,openIndex,highestIndex,lowestIndex,closeIndex
2010-01-04,1044000000.0,108.34961,1.0274,10609.33984,10694.49023,10608.13965,10654.79004
2010-01-05,1662000000.0,27.04004,0.2538,10719.44043,10791.04004,10655.57031,10681.83008
2010-01-06,1818000000.0,49.62012,0.4645,10709.5498,10768.61035,10661.16992,10731.4502
2010-01-07,1826000000.0,-49.79004,-0.464,10742.75,10774.0,10636.66992,10681.66016
2010-01-08,2118000000.0,116.66015,1.0922,10743.2998,10816.4502,10677.55957,10798.32031
2010-01-12,1928000000.0,80.81934,0.7484,10770.34961,10905.38965,10763.67969,10879.13965
2010-01-13,2500000000.0,-144.10938,-1.3246,10795.48047,10866.62012,10729.86035,10735.03027
2010-01-14,2673000000.0,172.64942,1.6083,10778.07031,10909.94043,10774.25,10907.67969
2010-01-15,2529000000.0,74.41992,0.6823,10917.41016,10982.09961,10878.83008,10982.09961
2010-01-18,1866000000.0,-127.01953,-1.1566,10887.61035,10895.09961,10781.03027,10855.08008
2010-01-19,1747000000.0,-90.17969,-0.8308,10866.83008,10866.83008,10749.46973,10764.90039
2010-01-20,1464000000.0,-27.38086,-0.2544,10834.91016,10860.92969,10724.57031,10737.51953
2010-01-21,1769000000.0,130.89063,1.219,10704.79004,10886.63965,10649.83984,10868.41016
2010-01-22,1874000000.0,-277.86036,-2.5566,10740.20996,10768.07031,10528.33008,10590.5498
2010-01-25,1398000000.0,-77.85937,-0.7352,10478.30957,10557.63965,10414.58008,10512.69043
2010-01-26,1754000000.0,-187.41016,-1.7827,10506.15039,10566.49023,10324.98047,10325.28027
2010-01-27,1395000000.0,-73.20019,-0.7089,10344.07031,10373.82031,10252.08008,10252.08008
2010-01-28,1680000000.0,162.20996,1.5822,10309.73047,10462.7002,10296.98047,10414.29004
2010-01-29,1568000000.0,-216.25,-2.0765,10308.0498,10324.37012,10198.04004,10198.04004
2010-02-01,1619000000.0,6.97949,0.0684,10212.36035,10224.83008,10129.91016,10205.01953
2010-02-02,1420000000.0,166.07031,1.6273,10310.98047,10396.48047,10287.74023,10371.08984
2010-02-03,1543000000.0,33.24024,0.3205,10428.12012,10436.51953,10356.03027,10404.33008
2010-02-04,1645000000.0,-48.34961,-0.4647,10434.51953,10438.41016,10279.57031,10355.98047
2010-02-05,1720000000.0,-298.89063,-2.8862,10162.33984,10166.2998,10036.33008,10057.08984
2010-02-08,1374000000.0,-105.26953,-1.0467,10007.46973,10063.53027,9942.0498,9951.82031
2010-02-09,1350000000.0,-18.91992,-0.1901,9876.61035,9956.79004,9867.38965,9932.90039
2010-02-10,1270000000.0,31.08984,0.313,10024.25977,10049.87012,9963.99023,9963.99023
2010-02-12,1360000000.0,128.2002,1.2866,10085.34961,10099.45996,10014.5,10092.19043
2010-02-15,973000000.0,-78.89063,-0.7817,10097.82031,10119.46973,10012.53027,10013.2998
2010-02-16,870000000.0,20.9502,0.2092,10044.53027,10062.26953,10019.42969,10034.25
2010-02-17,1271000000.0,272.58008,2.7165,10161.71973,10306.83008,10150.24023,10306.83008
2010-02-18,1118000000.0,28.86035,0.28,10324.98047,10340.37988,10285.0498,10335.69043
2010-02-19,1295000000.0,-212.11035,-2.0522,10334.40039,10354.41992,10123.58008,10123.58008
2010-02-22,1154000000.0,276.88965,2.7351,10302.07031,10449.75,10298.15039,10400.46973
2010-02-23,1215000000.0,-48.37012,-0.4651,10327.63965,10375.5498,10280.33008,10352.09961
2010-02-24,1252000000.0,-153.26953,-1.4806,10205.15039,10243.2002,10129.65039,10198.83008
2010-02-25,1282000000.0,-96.87012,-0.9498,10256.09961,10267.42969,10087.20996,10101.95996
2010-02-26,1132000000.0,24.07031,0.2383,10107.08008,10171.21973,10085.12988,10126.03027
2010-03-01,1084000000.0,46.0293,0.4546,10128.73047,10215.15039,10116.86035,10172.05957
2010-03-02,1040000000.0,49.78027,0.4894,10199.19043,10238.95996,10150.2998,10221.83984
2010-03-03,1206000000.0,31.29981,0.3062,10193.9502,10274.08984,10186.67969,10253.13965
2010-03-04,1263000000.0,-107.41992,-1.0477,10255.69043,10263.48047,10134.37012,10145.71973
2010-03-05,1299000000.0,223.24023,2.2003,10254.61035,10376.41016,10254.61035,10368.95996
2010-03-08,1405000000.0,216.95996,2.0924,10538.12012,10586.96973,10514.28027,10585.91992
2010-03-09,1101000000.0,-18.26953,-0.1726,10567.32031,10593.26953,10542.80957,10567.65039
2010-03-10,1048000000.0,-3.73047,-0.0353,10555.84961,10588.69043,10547.33984,10563.91992
2010-03-11,1238000000.0,101.03028,0.9564,10627.99023,10664.9502,10588.86035,10664.9502
2010-03-12,2066000000.0,86.30957,0.8093,10777.49023,10777.49023,10699.2998,10751.25977
2010-03-15,1307000000.0,0.7207,0.0067,10802.11035,10808.83984,10708.96973,10751.98047
2010-03-16,1066000000.0,-30.27051,-0.2815,10718.62988,10776.51953,10716.2002,10721.70996
2010-03-17,1377000000.0,125.27051,1.1684,10789.24023,10864.2998,10761.88965,10846.98047
2010-03-18,1302000000.0,-102.9502,-0.9491,10841.70996,10845.73047,10731.66016,10744.03027
2010-03-19,1163000000.0,80.68946,0.751,10785.87988,10826.75977,10775.57031,10824.71973
2010-03-23,1125000000.0,-50.56934,-0.4672,10793.0498,10817.78027,10766.65039,10774.15039
2010-03-24,1255000000.0,40.87988,0.3794,10829.36035,10880.62012,10769.17969,10815.03027
2010-03-25,1236000000.0,13.81934,0.1278,10857.80957,10872.4502,10808.70996,10828.84961
2010-03-26,1422000000.0,167.52051,1.547,10895.29004,11001.58984,10889.33008,10996.37012
2010-03-29,1447000000.0,-9.90039,-0.09,10909.98047,10990.75,10901.2002,10986.46973
2010-03-30,1535000000.0,110.66992,1.0073,11022.2002,11108.82031,11003.34961,11097.13965
2010-03-31,1417000000.0,-7.19922,-0.0649,11138.71973,11147.62012,11085.5498,11089.94043
2010-04-01,1665000000.0,154.45996,1.3928,11178.91992,11272.73047,11118.17969,11244.40039
2010-04-02,1501000000.0,41.68945,0.3708,11274.17969,11313.98047,11235.98047,11286.08984
2010-04-05,1179000000.0,53.20996,0.4715,11380.62988,11408.16992,11306.62012,11339.2998
2010-04-06,1380000000.0,-56.97949,-0.5025,11350.7002,11358.4502,11217.25,11282.32031
2010-04-07,1674000000.0,10.50977,0.0932,11296.30957,11350.57031,11260.41992,11292.83008
2010-04-08,1302000000.0,-124.62988,-1.1036,11179.66992,11232.36035,11159.4502,11168.2002
2010-04-09,1484000000.0,36.13964,0.3236,11174.62012,11204.87012,11148.7998,11204.33984
2010-04-12,1325000000.0,47.56055,0.4245,11300.79004,11351.5498,11248.57031,11251.90039
2010-04-13,1446000000.0,-90.66992,-0.8058,11202.91992,11212.65039,11088.48047,11161.23047
2010-04-14,1394000000.0,43.66992,0.3913,11213.45996,11270.2002,11161.00977,11204.90039
2010-04-15,1568000000.0,68.88965,0.6148,11310.07031,11316.66016,11255.7998,11273.79004
2010-04-16,1368000000.0,-171.61035,-1.5222,11230.53027,11230.53027,11084.71973,11102.17969
2010-04-19,1331000000.0,-193.41016,-1.7421,10929.63965,10953.90039,10878.99023,10908.76953
2010-04-20,1296000000.0,-8.08984,-0.0742,10960.11035,10999.57031,10890.82031,10900.67969
2010-04-21,1530000000.0,189.37011,1.7372,11031.79004,11093.2998,11023.87988,11090.0498
2010-04-22,1441000000.0,-140.95996,-1.271,10988.00977,10989.62012,10866.23047,10949.08984
2010-04-23,1368000000.0,-34.62988,-0.3163,10930.90039,10967.12012,10865.91992,10914.45996
2010-04-26,1349000000.0,251.33008,2.3027,11039.58984,11165.79004,11035.66016,11165.79004
2010-04-27,1430000000.0,46.87012,0.4198,11109.25977,11213.4502,11108.71973,11212.66016
2010-04-28,1793000000.0,-287.87012,-2.5674,11005.50977,11008.87988,10882.40039,10924.79004
2010-04-30,1567000000.0,132.61035,1.2138,11062.12012,11092.51953,11035.26953,11057.40039
2010-05-06,1838000000.0,-361.70996,-3.2712,10847.90039,10847.90039,10682.61035,10695.69043
2010-05-07,2277000000.0,-331.10059,-3.0956,10472.7002,10472.76953,10257.32031,10364.58984
2010-05-10,1810000000.0,166.11036,1.6027,10399.0498,10540.51953,10362.33984,10530.7002
2010-05-11,1969000000.0,-119.60059,-1.1357,10643.24023,10643.28027,10392.46973,10411.09961
2010-05-12,1893000000.0,-17.06934,-0.164,10465.03027,10501.71973,10345.19043,10394.03027
2010-05-13,1596000000.0,226.51953,2.1793,10542.76953,10638.23047,10535.94043,10620.5498
2010-05-14,1891000000.0,-158.04003,-1.4881,10453.40039,10551.69043,10390.76953,10462.50977
2010-05-17,1824000000.0,-226.75,-2.1673,10329.37012,10331.87012,10158.2998,10235.75977
2010-05-18,1608000000.0,6.87988,0.0672,10313.13965,10336.53027,10197.74023,10242.63965
2010-05-19,1750000000.0,-55.79981,-0.5448,10087.33008,10186.83984,10041.92969,10186.83984
2010-05-20,1497000000.0,-156.53027,-1.5366,10121.84961,10161.7002,9999.58984,10030.30957
2010-05-21,1950000000.0,-245.76953,-2.4503,9823.83984,9829.36035,9696.62988,9784.54004
2010-05-24,1648000000.0,-26.13965,-0.2672,9754.99023,9793.45996,9693.07031,9758.40039
2010-05-25,1653000000.0,-298.51074,-3.059,9632.13965,9642.59961,9432.08984,9459.88965
2010-05-26,1881000000.0,62.77051,0.6635,9567.34961,9622.40039,9477.4502,9522.66016
2010-05-27,1751000000.0,117.05957,1.2293,9419.2998,9642.16016,9395.29004,9639.71973
2010-05-28,1643000000.0,123.26074,1.2787,9806.05957,9824.84961,9699.13965,9762.98047
2010-05-31,1214000000.0,5.71973,0.0586,9735.46973,9831.73047,9728.41992,9768.7002
2010-06-01,1104000000.0,-56.87012,-0.5822,9747.25977,9747.25977,9658.44043,9711.83008
2010-06-02,1584000000.0,-108.58985,-1.1181,9604.4502,9763.41016,9560.16016,9603.24023
2010-06-03,1426000000.0,310.9502,3.238,9758.82031,9920.17969,9758.82031,9914.19043
2010-06-04,1203000000.0,-13.0,-0.1311,9909.24023,9962.41992,9868.08984,9901.19043
2010-06-07,1484000000.0,-380.39063,-3.8419,9705.36035,9714.41992,9502.62012,9520.7998
2010-06-08,1296000000.0,17.14063,0.18,9448.79004,9587.65039,9434.80957,9537.94043
2010-06-09,1416000000.0,-98.81055,-1.036,9475.57031,9487.91016,9378.23047,9439.12988
2010-06-10,1165000000.0,103.52051,1.0967,9476.78027,9544.04004,9437.46973,9542.65039
2010-06-11,2224000000.0,162.59961,1.7039,9701.32031,9764.73047,9673.59961,9705.25
2010-06-14,973000000.0,174.59961,1.799,9824.92969,9882.0498,9819.9502,9879.84961
2010-06-15,1017000000.0,8.04004,0.0814,9845.65039,9911.73047,9826.44043,9887.88965
2010-06-16,1203000000.0,179.26074,1.8129,10043.09961,10109.86035,10033.24023,10067.15039
2010-06-17,976000000.0,-67.75,-0.673,10009.25,10053.4502,9989.20996,9999.40039
2010-06-18,985000000.0,-4.38086,-0.0438,10027.98047,10029.11035,9965.16016,9995.01953
2010-06-21,1230000000.0,242.99024,2.4311,10109.26953,10251.90039,10109.26953,10238.00977
2010-06-22,1149000000.0,-125.12012,-1.2221,10131.91016,10183.88965,10105.48047,10112.88965
2010-06-23,1026000000.0,-189.18945,-1.8708,9973.0,9975.00977,9912.7998,9923.7002
2010-06-24,949000000.0,4.63964,0.0468,9902.62012,10009.37012,9893.75,9928.33984
2010-06-25,1293000000.0,-190.85937,-1.9224,9778.7002,9794.98047,9697.87012,9737.48047
2010-06-28,916000000.0,-43.54004,-0.4471,9758.91016,9762.23047,9679.16992,9693.94043
2010-06-29,1068000000.0,-123.27051,-1.2716,9718.40039,9760.01953,9548.98047,9570.66992
2010-06-30,1310000000.0,-188.03027,-1.9647,9396.4502,9420.13965,9347.07031,9382.63965
2010-07-01,1254000000.0,-191.04004,-2.0361,9296.86035,9297.4502,9147.67969,9191.59961
2010-07-02,1157000000.0,12.11035,0.1318,9234.55957,9259.13965,9160.46973,9203.70996
2010-07-05,1007000000.0,63.07031,0.6853,9230.0,9282.90039,9213.79004,9266.78027
2010-07-06,1374000000.0,71.25977,0.769,9158.28027,9351.11035,9091.7002,9338.04004
2010-07-07,1208000000.0,-58.38965,-0.6253,9322.55957,9329.63965,9223.7998,9279.65039
2010-07-08,1182000000.0,256.08984,2.7597,9462.82031,9545.99023,9456.19043,9535.74023
2010-07-09,1252000000.0,49.58008,0.5199,9601.62012,9610.58984,9516.96973,9585.32031
2010-07-12,1236000000.0,-37.20996,-0.3882,9540.46973,9632.88965,9533.55957,9548.11035
2010-07-13,1497000000.0,-10.87988,-0.1139,9592.87012,9629.98047,9502.24023,9537.23047
2010-07-14,1933000000.0,258.00976,2.7053,9707.5,9807.36035,9693.33008,9795.24023
2010-07-15,1159000000.0,-109.70996,-1.12,9701.13965,9726.94043,9667.0,9685.53027
2010-07-16,1340000000.0,-277.16992,-2.8617,9600.87988,9636.83984,9392.20996,9408.36035
2010-07-21,3076000000.0,-21.62992,-0.2326,9404.07,9404.07,9230.84,9278.83008
2010-07-22,2296000000.0,-57.9502,-0.6245,9216.28027,9254.19043,9176.12012,9220.87988
2010-07-23,1575000000.0,210.08008,2.2783,9380.12012,9474.11035,9367.2998,9430.95996
2010-07-26,904000000.0,72.7002,0.7709,9520.73047,9561.82031,9493.61035,9503.66016
2010-07-27,1307000000.0,-6.81055,-0.0717,9512.66992,9541.58984,9487.65039,9496.84961
2010-07-28,1482000000.0,256.41992,2.7001,9614.46973,9760.30957,9614.46973,9753.26953
2010-07-29,1482000000.0,-57.25,-0.587,9653.50977,9732.75977,9648.96973,9696.01953
2010-07-30,1662000000.0,-158.71973,-1.637,9658.61035,9658.61035,9505.63965,9537.2998
2010-08-02,1356000000.0,33.00977,0.3461,9574.63965,9676.41016,9548.86035,9570.30957
2010-08-03,1386000000.0,123.7002,1.2925,9716.57031,9750.87988,9632.86035,9694.00977
2010-08-04,1193000000.0,-204.66993,-2.1113,9606.82031,9613.12988,9474.66992,9489.33984
2010-08-05,1288000000.0,164.58008,1.7344,9640.33984,9688.87012,9578.30957,9653.91992
2010-08-06,1121000000.0,-11.7998,-0.1222,9560.65039,9658.04004,9545.41016,9642.12012
2010-08-09,878000000.0,-69.62989,-0.7221,9535.50977,9572.83008,9523.62988,9572.49023
2010-08-10,1071000000.0,-21.44043,-0.224,9629.96973,9667.04004,9505.33984,9551.0498
2010-08-11,1116000000.0,-258.20019,-2.7034,9423.03027,9445.04004,9283.59961,9292.84961
2010-08-12,1423000000.0,-80.25977,-0.8637,9125.49023,9212.58984,9065.94043,9212.58984
2010-08-13,1218000000.0,40.87012,0.4436,9214.80957,9278.45996,9163.25,9253.45996
2010-08-16,970000000.0,-56.79004,-0.6137,9145.21973,9210.96973,9095.94043,9196.66992
2010-08-17,915000000.0,-34.99023,-0.3805,9089.84961,9188.48047,9084.24023,9161.67969
2010-08-18,1184000000.0,78.86035,0.8608,9261.5,9280.58984,9153.41992,9240.54004
2010-08-19,1202000000.0,122.13965,1.3218,9242.83984,9362.67969,9242.83984,9362.67969
2010-08-20,1120000000.0,-183.29981,-1.9578,9239.36035,9287.5,9169.16992,9179.37988
2010-08-23,936000000.0,-62.68945,-0.6829,9147.24023,9171.41992,9090.95996,9116.69043
2010-08-24,1113000000.0,-121.55078,-1.3333,9024.59961,9069.21973,8983.51953,8995.13965
2010-08-25,1339000000.0,-149.75,-1.6648,8904.44043,8949.41016,8807.41016,8845.38965
