date,turnoverVol,CHG,CHGPct,openIndex,highestIndex,lowestIndex,closeIndex
2009-12-31,1237820000.0,-22.13013,-0.9658,2292.91992,2293.59009,2269.11011,2269.1499
2010-01-04,1931380000.0,39.27002,1.7306,2294.40991,2311.1499,2294.40991,2308.41992
2010-01-05,2367860000.0,0.29004,0.0126,2307.27002,2313.72998,2295.62012,2308.70996
2010-01-06,2253340000.0,-7.61987,-0.33,2307.70996,2314.07007,2295.67993,2301.09009
2010-01-07,2270050000.0,-1.04004,-0.0452,2298.09009,2301.30005,2285.21997,2300.05005
2010-01-08,2145390000.0,17.11987,0.7443,2292.23999,2317.6001,2290.61011,2317.16992
2010-01-11,2077890000.0,-4.76001,-0.2054,2324.78003,2326.28003,2302.20996,2312.40991
2010-01-12,2368320000.0,-30.09985,-1.3017,2297.28003,2298.8501,2272.69995,2282.31006
2010-01-13,2318350000.0,25.58984,1.1212,2289.45996,2313.03003,2274.12012,2307.8999
2010-01-14,2254170000.0,8.84009,0.383,2303.31006,2322.56006,2303.29004,2316.73999
2010-01-15,2637770000.0,-28.75,-1.241,2316.97998,2322.54004,2279.19995,2287.98999
2010-01-19,2045290000.0,32.40991,1.4165,2291.02002,2320.3999,2290.67993,2320.3999
2010-01-20,2351890000.0,-29.1499,-1.2562,2304.31006,2304.46997,2268.67993,2291.25
2010-01-21,2877800000.0,-25.55005,-1.1151,2298.22998,2308.97998,2259.82007,2265.69995
2010-01-22,2817620000.0,-60.40991,-2.6663,2255.76001,2262.27002,2200.37012,2205.29004
2010-01-25,2134350000.0,5.51001,0.2499,2220.29004,2223.21997,2201.16992,2210.80005
2010-01-26,2361260000.0,-7.07007,-0.3198,2203.43994,2227.88989,2195.43994,2203.72998
2010-01-27,2492880000.0,17.67993,0.8023,2200.30005,2225.66992,2192.59009,2221.40991
2010-01-28,2829640000.0,-42.40991,-1.9091,2220.31006,2220.87012,2166.8999,2179.0
2010-01-29,3090580000.0,-31.6499,-1.4525,2198.26001,2202.84009,2140.34009,2147.3501
2010-02-01,2234140000.0,23.84985,1.1107,2155.81006,2171.19995,2152.26001,2171.19995
2010-02-02,2468470000.0,18.86011,0.8686,2171.65991,2193.65991,2161.46997,2190.06006
2010-02-03,2303350000.0,0.84985,0.0388,2181.01001,2194.53003,2176.75,2190.90991
2010-02-04,2801390000.0,-65.47998,-2.9887,2176.38989,2178.25,2125.42993,2125.42993
2010-02-05,2811100000.0,15.69019,0.7382,2131.91992,2142.27002,2100.16992,2141.12012
2010-02-08,2036280000.0,-15.07007,-0.7038,2140.1001,2152.63989,2125.11011,2126.05005
2010-02-09,2296420000.0,24.82007,1.1674,2153.1001,2166.15991,2132.58008,2150.87012
2010-02-10,2059940000.0,-3.0,-0.1395,2147.45996,2156.36011,2131.08008,2147.87012
2010-02-11,2141260000.0,29.53979,1.3753,2145.09009,2179.54004,2134.13989,2177.40991
2010-02-12,2236180000.0,6.12012,0.2811,2157.68994,2184.57007,2151.98999,2183.53003
2010-02-16,2072850000.0,30.65991,1.4041,2200.37988,2214.18994,2189.17993,2214.18994
2010-02-17,2103530000.0,12.1001,0.5465,2222.87012,2226.32007,2212.78003,2226.29004
2010-02-18,2076820000.0,15.41992,0.6926,2223.21997,2243.5,2221.13989,2241.70996
2010-02-19,2166660000.0,2.16016,0.0964,2233.33008,2249.80005,2228.92993,2243.87012
2010-02-22,1976290000.0,-1.84009,-0.082,2250.91992,2251.67993,2235.6499,2242.03003
2010-02-23,2310910000.0,-28.59009,-1.2752,2238.01001,2239.80005,2205.69995,2213.43994
2010-02-24,2155810000.0,22.45996,1.0147,2222.3999,2241.68994,2221.28003,2235.8999
2010-02-25,2300530000.0,-1.67993,-0.0751,2208.62012,2236.20996,2198.72998,2234.21997
2010-02-26,2283430000.0,4.04004,0.1808,2234.43994,2242.83008,2222.22998,2238.26001
2010-03-01,2504940000.0,35.31006,1.5776,2247.3999,2274.02002,2247.33008,2273.57007
2010-03-02,2831870000.0,7.21997,0.3176,2279.07007,2292.48999,2275.3501,2280.79004
2010-03-03,2603510000.0,-0.11011,-0.0048,2284.82007,2293.32007,2275.25,2280.67993
2010-03-04,2186020000.0,11.63013,0.5099,2282.57007,2293.15991,2273.62988,2292.31006
2010-03-05,2411880000.0,34.04004,1.485,2304.01001,2327.03003,2301.1001,2326.3501
2010-03-08,2312310000.0,5.85986,0.2519,2326.25,2335.42993,2326.11011,2332.20996
2010-03-09,2620360000.0,8.46997,0.3632,2325.78003,2353.07007,2325.73999,2340.67993
2010-03-10,2554740000.0,18.27002,0.7805,2340.94995,2361.65991,2340.68994,2358.94995
2010-03-11,2256790000.0,9.51001,0.4031,2351.11011,2368.45996,2347.53003,2368.45996
2010-03-12,2098780000.0,-0.80005,-0.0338,2376.07007,2376.28003,2358.08008,2367.65991
2010-03-15,1956170000.0,-5.44995,-0.2302,2361.91992,2367.3999,2345.98999,2362.20996
2010-03-16,2201880000.0,15.80005,0.6689,2367.32007,2378.84009,2360.66992,2378.01001
2010-03-17,2281410000.0,11.08008,0.4659,2381.6499,2400.09009,2381.46997,2389.09009
2010-03-18,2173060000.0,2.18994,0.0917,2387.54004,2393.87012,2383.26001,2391.28003
2010-03-19,3055760000.0,-16.87012,-0.7055,2391.19995,2396.91992,2364.53003,2374.40991
2010-03-22,2448130000.0,20.98999,0.884,2360.3501,2401.20996,2358.0,2395.3999
2010-03-23,2465230000.0,19.84009,0.8283,2397.8999,2416.51001,2390.04004,2415.23999
2010-03-24,2436100000.0,-16.47998,-0.6823,2406.71997,2408.63989,2396.91992,2398.76001
2010-03-25,2704870000.0,-1.3501,-0.0563,2415.23999,2432.25,2397.36011,2397.40991
2010-03-26,2367930000.0,-2.28003,-0.0951,2406.72998,2412.91992,2384.68994,2395.12988
2010-03-29,1967850000.0,9.23023,0.3854,2403.77002,2411.17993,2398.3999,2404.36011
2010-03-30,2147270000.0,6.32983,0.2633,2406.68994,2417.36011,2395.80005,2410.68994
2010-03-31,2368690000.0,-12.72998,-0.5281,2402.97998,2415.43994,2395.34009,2397.95996
2010-04-01,2340270000.0,4.62012,0.1927,2411.67993,2423.42993,2383.77002,2402.58008
2010-04-05,2130340000.0,26.94995,1.1217,2409.47998,2429.61011,2403.87988,2429.53003
2010-04-06,2220390000.0,7.28003,0.2996,2420.33008,2443.5,2417.77002,2436.81006
2010-04-07,2984850000.0,-5.65015,-0.2319,2433.1001,2442.27002,2418.72998,2431.15991
2010-04-08,2428900000.0,5.65015,0.2324,2423.98999,2441.12012,2413.73999,2436.81006
2010-04-09,2215530000.0,17.23999,0.7075,2441.31006,2454.12012,2432.92993,2454.05005
2010-04-12,2161650000.0,3.82007,0.1557,2455.3999,2463.16992,2450.1499,2457.87012
2010-04-13,2665420000.0,8.11987,0.3304,2454.94995,2467.93994,2445.26001,2465.98999
2010-04-14,3143270000.0,38.87012,1.5762,2481.80005,2504.86011,2480.42993,2504.86011
2010-04-15,2840660000.0,10.82983,0.4324,2503.40991,2517.82007,2502.51001,2515.68994
2010-04-16,2960950000.0,-34.42993,-1.3686,2505.37988,2510.06006,2467.67993,2481.26001
2010-04-19,2223650000.0,-1.1499,-0.0463,2477.80005,2487.66992,2451.71997,2480.11011
2010-04-20,2157100000.0,20.19995,0.8145,2492.71997,2501.25,2480.69995,2500.31006
2010-04-21,2715900000.0,4.30005,0.172,2506.61011,2510.5,2490.18994,2504.61011
2010-04-22,2800840000.0,14.45996,0.5773,2483.52002,2521.02002,2468.26001,2519.07007
2010-04-23,2517010000.0,11.07983,0.4398,2514.8501,2530.1499,2507.6001,2530.1499
2010-04-26,2491040000.0,-7.19995,-0.2846,2529.8501,2535.28003,2521.51001,2522.94995
2010-04-27,2864810000.0,-51.47998,-2.0405,2512.58008,2525.69995,2466.53003,2471.46997
2010-04-28,2755190000.0,0.26001,0.0105,2483.03003,2484.1499,2456.62988,2471.72998
2010-04-29,3069640000.0,40.18994,1.626,2487.33008,2513.68994,2483.5,2511.91992
2010-04-30,2841130000.0,-50.72998,-2.0196,2509.98999,2514.37012,2461.09009,2461.18994
2010-05-03,2398370000.0,37.55005,1.5257,2472.32007,2503.0,2472.32007,2498.73999
2010-05-04,3052590000.0,-74.48999,-2.9811,2465.55005,2465.55005,2411.28003,2424.25
2010-05-05,3041480000.0,-21.95996,-0.9058,2395.20996,2421.05005,2382.07007,2402.29004
2010-05-06,4553600000.0,-82.65015,-3.4405,2391.20996,2407.79004,2185.75,2319.63989
2010-05-07,4227720000.0,-54.0,-2.3279,2308.70996,2330.6499,2228.06006,2265.63989
2010-05-10,2871800000.0,109.03003,4.8123,2365.96997,2379.87012,2349.3999,2374.66992
2010-05-11,2548840000.0,0.64014,0.027,2347.69995,2405.26001,2345.5,2375.31006
2010-05-12,2351900000.0,49.70996,2.0928,2388.63989,2426.46997,2384.68994,2425.02002
2010-05-13,2375250000.0,-30.65991,-1.2643,2416.36011,2434.29004,2387.59009,2394.36011
