date,CHG,CHGPct,openIndex,highestIndex,lowestIndex,closeIndex
2010-01-04,141.78,1.9733,7184.98,7331.12,7184.98,7326.74
2010-01-05,28.13,0.3839,7326.74,7359.46,7313.6,7354.87
2010-01-06,22.83,0.3104,7354.85,7389.28,7342.49,7377.7
2010-01-07,16.23,0.22,7377.7,7398.21,7325.51,7393.93
2010-01-08,31.42,0.4249,7393.93,7426.41,7367.81,7425.35
2010-01-11,23.7,0.3192,7425.61,7471.31,7419.57,7449.05
2010-01-12,-78.6,-1.0552,7449.05,7449.05,7340.94,7370.45
2010-01-13,59.69,0.8099,7370.47,7441.18,7349.42,7430.14
2010-01-14,18.38,0.2474,7430.14,7458.16,7417.95,7448.52
2010-01-15,-91.73,-1.2315,7448.51,7448.51,7326.54,7356.79
2010-01-19,86.89,1.1811,7356.79,7443.68,7352.46,7443.68
2010-01-20,-113.85,-1.5295,7443.67,7443.67,7269.93,7329.83
2010-01-21,-155.37,-2.1197,7329.84,7345.94,7166.62,7174.46
2010-01-22,-143.85,-2.005,7174.46,7174.46,7021.03,7030.61
2010-01-25,42.52,0.6048,7030.61,7118.22,7030.61,7073.13
2010-01-26,-44.81,-0.6335,7073.14,7098.77,7008.98,7028.32
2010-01-27,7.29,0.1037,7028.42,7044.52,6944.08,7035.61
2010-01-28,-78.62,-1.1175,7035.62,7061.61,6913.3,6956.99
2010-01-29,-73.21,-1.0523,6956.99,7029.29,6869.21,6883.78
2010-02-01,124.45,1.8079,6883.79,7008.39,6883.79,7008.23
2010-02-02,93.21,1.33,7008.47,7111.52,7005.84,7101.44
2010-02-03,-58.82,-0.8283,7101.43,7101.43,7023.17,7042.62
2010-02-04,-254.76,-3.6174,7042.57,7042.57,6786.27,6787.86
2010-02-05,-5.11,-0.0753,6787.86,6799.81,6631.51,6782.75
2010-02-08,-68.88,-1.0155,6782.74,6815.98,6712.45,6713.87
2010-02-09,121.29,1.8066,6713.9,6887.34,6713.9,6835.16
2010-02-10,-16.04,-0.2347,6835.16,6850.98,6756.32,6819.12
2010-02-11,79.6,1.1673,6819.12,6901.45,6769.4,6898.72
2010-02-12,-24.16,-0.3502,6898.72,6898.72,6783.11,6874.56
2010-02-16,138.79,2.0189,6874.56,7020.34,6874.56,7013.35
2010-02-17,21.85,0.3115,7013.35,7059.89,7008.7,7035.2
2010-02-18,45.18,0.6422,7035.19,7087.66,7022.12,7080.38
2010-02-19,2.87,0.0405,7080.38,7096.2,7022.52,7083.25
2010-02-22,-4.72,-0.0666,7083.25,7109.04,7067.44,7078.53
2010-02-23,-103.93,-1.4682,7078.53,7078.53,6961.85,6974.6
2010-02-24,56.07,0.8039,6974.6,7043.91,6973.08,7030.67
2010-02-25,-17.22,-0.2449,7030.61,7030.61,6896.02,7013.45
2010-02-26,21.59,0.3078,7013.45,7050.0,6968.43,7035.04
2010-03-01,65.71,0.934,7035.05,7100.75,7035.05,7100.75
2010-03-02,35.22,0.496,7100.8,7168.12,7100.8,7135.97
2010-03-03,28.69,0.402,7135.97,7212.28,7135.97,7164.66
2010-03-04,8.41,0.1174,7164.67,7193.0,7138.22,7173.07
2010-03-05,118.24,1.6484,7173.21,7294.04,7173.21,7291.31
2010-03-08,1.22,0.0167,7291.31,7317.4,7278.42,7292.53
2010-03-09,1.49,0.0204,7292.53,7323.95,7256.19,7294.02
2010-03-10,33.65,0.4613,7294.04,7351.87,7292.44,7327.67
2010-03-11,25.57,0.349,7327.67,7353.24,7276.27,7353.24
2010-03-12,9.61,0.1307,7353.24,7387.22,7343.46,7362.85
2010-03-15,-11.89,-0.1615,7362.81,7362.81,7294.3,7350.96
2010-03-16,75.74,1.0303,7350.96,7429.97,7350.96,7426.7
2010-03-17,47.43,0.6386,7426.7,7497.88,7426.7,7474.13
2010-03-18,-30.56,-0.4089,7474.14,7475.98,7412.65,7443.57
2010-03-19,-56.72,-0.762,7443.61,7459.29,7364.77,7386.85
2010-03-22,32.17,0.4355,7386.83,7426.13,7321.62,7419.02
2010-03-23,59.84,0.8066,7419.01,7481.2,7412.3,7478.86
2010-03-24,-70.7,-0.9453,7478.73,7478.73,7398.42,7408.16
2010-03-25,-22.56,-0.3045,7408.18,7483.67,7382.33,7385.6
2010-03-26,17.98,0.2434,7385.6,7448.48,7370.15,7403.58
2010-03-29,61.32,0.8282,7403.8,7467.27,7403.8,7464.9
2010-03-30,-4.18,-0.056,7464.9,7494.33,7436.15,7460.72
2010-03-31,-12.92,-0.1732,7460.76,7480.41,7422.34,7447.8
2010-04-01,91.25,1.2252,7447.94,7542.92,7447.94,7539.05
2010-04-05,61.88,0.8208,7539.03,7600.93,7539.03,7600.93
2010-04-06,3.51,0.0462,7600.91,7616.26,7558.25,7604.44
2010-04-07,-58.26,-0.7661,7604.43,7604.43,7515.94,7546.18
2010-04-08,19.15,0.2538,7546.15,7575.06,7481.64,7565.33
2010-04-09,63.72,0.8423,7565.42,7630.52,7565.42,7629.05
2010-04-12,12.7,0.1665,7629.04,7661.13,7629.04,7641.75
2010-04-13,-3.4,-0.0445,7641.75,7648.6,7583.58,7638.35
2010-04-14,90.61,1.1863,7638.39,7728.97,7638.39,7728.96
2010-04-15,-9.3,-0.1203,7728.95,7743.74,7706.0,7719.66
2010-04-16,-135.04,-1.7493,7719.63,7719.63,7548.27,7584.62
2010-04-19,11.94,0.1574,7584.61,7598.7,7507.86,7596.56
2010-04-20,72.55,0.955,7596.56,7676.66,7596.56,7669.11
2010-04-21,-24.44,-0.3187,7669.1,7675.7,7599.29,7644.67
2010-04-22,-1.84,-0.0241,7644.59,7648.98,7522.75,7642.83
2010-04-23,58.78,0.7691,7642.83,7701.61,7603.85,7701.61
2010-04-26,-23.96,-0.3111,7701.61,7727.22,7671.64,7677.65
2010-04-27,-214.56,-2.7946,7677.64,7677.64,7453.23,7463.09
2010-04-28,36.63,0.4908,7463.09,7520.46,7437.39,7499.72
2010-04-29,89.57,1.1943,7499.73,7605.53,7499.73,7589.29
2010-04-30,-114.89,-1.5138,7589.29,7596.98,7473.34,7474.4
2010-05-03,68.72,0.9194,7474.43,7560.16,7473.51,7543.12
2010-05-04,-205.87,-2.7292,7543.11,7543.11,7307.82,7337.25
2010-05-05,-79.23,-1.0798,7337.25,7337.25,7204.24,7258.02
2010-05-06,-246.1,-3.3907,7257.9,7259.19,6666.96,7011.92
2010-05-07,-95.74,-1.3654,7011.91,7061.65,6809.65,6916.18
2010-05-10,341.44,4.9368,6916.18,7288.03,6916.18,7257.62
2010-05-11,-35.96,-0.4955,7257.59,7311.03,7177.05,7221.66
2010-05-12,94.7,1.3113,7221.98,7324.02,7221.98,7316.36
2010-05-13,-81.99,-1.1206,7316.36,7325.84,7225.34,7234.37
2010-05-14,-156.73,-2.1665,7234.15,7234.15,7017.56,7077.64
2010-05-17,-13.81,-0.1951,7077.67,7115.66,6926.39,7063.83
2010-05-18,-104.62,-1.4811,7063.83,7150.88,6939.59,6959.21
2010-05-19,-32.0,-0.4598,6959.19,6979.1,6823.37,6927.21
2010-05-20,-274.21,-3.9584,6927.21,6927.21,6648.92,6653.0
2010-05-21,122.45,1.8405,6653.0,6785.12,6565.53,6775.45
2010-05-24,-108.71,-1.6045,6775.44,6775.44,6663.17,6666.74
2010-05-25,-0.91,-0.0136,6666.73,6669.92,6451.67,6665.83
2010-05-26,-34.47,-0.5171,6665.84,6767.87,6616.88,6631.36
2010-05-27,261.93,3.9499,6631.36,6894.22,6631.36,6893.29
2010-05-28,-101.72,-1.4756,6893.29,6893.29,6764.71,6791.57
2010-06-01,-130.47,-1.9211,6791.44,6828.76,6659.04,6661.1
2010-06-02,178.51,2.6799,6661.1,6840.14,6661.1,6839.61
2010-06-03,20.78,0.3038,6839.61,6891.0,6790.21,6860.39
2010-06-04,-260.12,-3.7916,6860.33,6860.33,6575.71,6600.27
2010-06-07,-87.85,-1.331,6600.23,6643.5,6509.66,6512.42
2010-06-08,83.7,1.2852,6512.42,6602.44,6469.52,6596.12
2010-06-09,-36.41,-0.552,6596.15,6702.06,6539.2,6559.71
2010-06-10,223.8,3.4117,6559.78,6787.76,6559.78,6783.51
2010-06-11,31.25,0.4607,6783.5,6815.67,6726.42,6814.76
