date,turnoverVol,turnoverValue,CHG,CHGPct,highestIndex,lowestIndex,openIndex,closeIndex
1991/7/1,2294000,12469884,-0.71,-0.5161,138.62,136.56,136.64,136.85
1991/7/2,283800,3794100,-0.89,-0.6503,135.96,135.69,135.91,135.96
1991/7/3,271500,1818504,-0.69,-0.5075,135.96,134.98,135.28,135.27
1991/7/4,1339400,8095138,1.36,1.0054,136.63,134.19,136.63,136.63
1991/7/5,1454000,9394861,-0.67,-0.4904,137.68,135.9,136.01,135.96
1991/7/8,587400,2925933,-0.68,-0.5001,135.28,134.93,135.26,135.28
1991/7/9,844200,4174836,-0.64,-0.4731,136.57,134.31,136.56,134.64
1991/7/10,602300,2894591,-0.65,-0.4828,135.6,133.72,134.4,133.99
1991/7/11,507300,2417896,-0.61,-0.4553,133.99,133.13,133.22,133.38
1991/7/12,314400,1484090,-0.58,-0.4348,133.38,132.42,132.8,132.8
1991/7/15,1193800,5534900,0.34,0.256,134.1,131.87,133.9,133.14
1991/7/16,279600,1328502,1.33,0.9989,134.47,133.14,134.39,134.47
1991/7/17,66000,397524,1.34,0.9965,135.81,135.39,135.81,135.81
1991/7/18,84700,464416,1.36,1.0014,137.17,135.81,137.17,137.17
1991/7/19,1082300,5242826,-0.47,-0.3426,138.54,136.66,137.66,136.7
1991/7/22,276400,1423205,1.37,1.0022,138.07,136.7,138.07,138.07
1991/7/23,724100,3548584,1.32,0.956,139.39,138.07,139.35,139.39
1991/7/24,598800,2901485,1.29,0.9255,140.74,138.69,140.66,140.68
1991/7/25,839000,4080885,-0.49,-0.3483,141.01,139.99,140.2,140.19
1991/7/26,927900,4520783,0.47,0.3353,141.46,139.27,140.11,140.66
1991/7/29,477100,2350293,0.86,0.6114,141.72,140.81,141.22,141.52
1991/7/30,560100,2718049,0.87,0.6148,142.45,141.39,142.39,142.39
1991/7/31,405100,1993205,1.41,0.9902,143.8,142.39,143.72,143.8
1991/8/1,473100,2310502,1.44,1.0014,145.24,143.8,145.12,145.24
1991/8/2,1174400,5825142,1.44,0.9915,146.68,145.44,146.49,146.68
1991/8/5,512600,2593974,1.47,1.0022,148.15,146.68,148.06,148.15
1991/8/6,200100,1065505,1.47,0.9922,149.62,148.15,149.62,149.62
1991/8/7,110700,580236,1.5,1.0025,151.12,149.62,150.93,151.12
1991/8/8,195100,1045377,1.49,0.986,152.61,151.12,152.57,152.61
1991/8/9,371500,1990447,1.49,0.9763,154.1,152.61,153.9,154.1
1991/8/12,391900,2154199,1.44,0.9345,155.54,154.1,155.34,155.54
1991/8/13,2003900,10529728,1.53,0.9837,157.07,155.54,156.87,157.07
1991/8/14,548000,2929235,1.56,0.9932,158.63,158.11,158.3,158.63
1991/8/15,153700,850781,1.58,0.996,160.21,158.63,159.92,160.21
1991/8/16,98400,581335,1.39,0.8676,161.6,160.21,161.56,161.6
1991/8/19,98500,614977,1.61,0.9963,163.21,161.6,163.21,163.21
1991/8/20,57300,388263,1.63,0.9987,164.84,163.21,164.74,164.84
1991/8/21,341100,2106363,1.65,1.001,166.49,164.84,166.49,166.49
1991/8/22,129600,845656,1.67,1.0031,168.16,166.49,167.81,168.16
1991/8/23,60500,502645,1.65,0.9812,169.81,168.16,169.81,169.81
1991/8/26,64300,518093,1.7,1.0011,171.51,169.81,171.51,171.51
1991/8/27,79600,520954,1.68,0.9795,173.19,171.51,173.06,173.19
1991/8/28,80400,511434,1.73,0.9989,174.92,173.19,174.82,174.92
1991/8/29,260800,1629096,1.74,0.9947,176.66,174.92,176.53,176.66
1991/8/30,675900,4219163,1.77,1.0019,178.43,176.66,178.2,178.43
1991/9/2,140800,886865,1.79,1.0032,180.22,178.43,180.08,180.22
1991/9/3,147500,940258,1.75,0.971,181.97,180.22,181.71,181.97
1991/9/4,65000,470005,1.72,0.9452,183.69,181.97,183.66,183.69
1991/9/5,151400,1095242,1.82,0.9908,185.51,183.69,185.48,185.51
1991/9/6,276500,1761317,1.85,0.9973,187.36,185.51,187.09,187.36
1991/9/9,355200,2349562,1.88,1.0034,189.24,187.36,189.1,189.24
1991/9/10,3343400,21507837,-0.91,-0.4809,190.98,188.19,190.98,188.33
1991/9/11,2139200,14677350,-1.11,-0.5894,187.29,186.86,187.29,187.22
1991/9/12,1969900,16265671,-1,-0.5341,187.4,186.07,186.22,186.22
1991/9/13,3743400,24035038,1.57,0.8431,188.04,185.01,188,187.79
1991/9/16,993300,6343151,1.87,0.9958,189.66,187.79,189.55,189.66
1991/9/17,2882900,18623898,-1.01,-0.5325,191.18,188.28,191.16,188.65
1991/9/18,1582200,11015637,-1.02,-0.5407,188.59,187.18,187.26,187.63
1991/9/19,2343900,14607546,-0.75,-0.3997,189.21,186.49,187.65,186.88
1991/9/20,1207500,7417594,-0.96,-0.5137,187.21,185.66,185.77,185.92
1991/9/23,403400,2806673,-0.92,-0.4948,185.92,184.71,185,185
1991/9/24,142600,1002714,-0.92,-0.4973,185.04,183.69,183.96,184.08
1991/9/25,138900,934108,-0.89,-0.4835,184.08,182.8,182.8,183.19
1991/9/26,654100,4620152,-0.86,-0.4695,183.19,181.93,182.21,182.33
1991/9/27,3372800,20416480,-0.51,-0.2797,183.89,181.19,183.12,181.82
1991/9/30,2559400,22336016,-0.9,-0.495,181.95,180.27,180.28,180.92
1991/10/3,1874100,12329971,1.56,0.8623,182.48,179.8,181.55,182.48
1991/10/4,736000,5039959,1.81,0.9919,184.29,183.59,184.29,184.29
1991/10/7,1136900,7291196,1.71,0.9279,186,185.41,185.95,186
1991/10/8,2374500,15241554,1.49,0.8011,187.61,186,187.59,187.49
1991/10/9,2098900,13440129,1.63,0.8694,189.12,186.31,188.49,189.12
1991/10/10,663800,4333536,1.89,0.9994,191.01,189.12,190.71,191.01
1991/10/11,1098100,7251750,1.84,0.9633,192.88,191.01,192.84,192.85
1991/10/14,2149300,13948029,1.82,0.9437,194.69,192.32,194.06,194.67
1991/10/15,1100200,7265197,1.94,0.9966,196.61,194.67,196.58,196.61
1991/10/16,956200,6273991,1.96,0.9969,198.57,196.61,198.51,198.57
1991/10/17,607700,4136314,1.94,0.977,200.51,198.57,200.5,200.51
1991/10/18,296800,2384097,2,0.9975,202.51,200.51,202.5,202.51
1991/10/21,353700,2514336,2.02,0.9975,204.53,202.51,204.53,204.53
1991/10/22,212800,1521146,2,0.9779,206.53,204.53,206.06,206.53
1991/10/23,262300,1980087,1.72,0.8328,208.25,206.53,208.06,208.25
1991/10/24,1935700,13174235,1.82,0.8739,210.2,208.25,210.2,210.07
1991/10/25,3265000,22263149,1.79,0.8521,211.97,209.71,210.34,211.86
1991/10/28,321700,2357941,2.12,1.0007,213.98,211.86,213.5,213.98
1991/10/29,269700,2069665,1.8,0.8412,215.78,213.98,215.63,215.78
1991/10/30,238000,1814463,0.65,0.3012,216.43,215.78,216.37,216.43
1991/10/31,392900,2914654,2.17,1.0026,218.6,216.43,218.59,218.6
1991/11/1,590600,4313355,2.12,0.9698,220.72,218.6,220.71,220.72
1991/11/4,447400,3352291,2.05,0.9288,222.77,220.79,222.77,222.77
1991/11/5,280500,2225605,1.88,0.8439,224.65,222.77,224.44,224.65
1991/11/6,284800,2188148,2.23,0.9927,226.88,224.65,226.83,226.88
1991/11/7,483300,4085072,2.05,0.9036,228.93,226.88,228.93,228.93
1991/11/8,1440600,11039106,2.29,1.0003,231.22,228.93,230.99,231.22
1991/11/11,247400,2130826,2.33,1.0077,233.55,231.22,233.48,233.55
1991/11/12,89500,914377,2.25,0.9634,235.8,233.55,235.75,235.8
1991/11/13,79900,879975,0.87,0.369,236.67,235.8,236.51,236.67
1991/11/14,86200,940119,0.78,0.3296,237.45,236.67,237.39,237.45
1991/11/15,205800,1914795,0.8,0.3369,238.25,237.45,238.25,238.25
1991/11/18,188500,1534361,2.37,0.9948,240.62,238.25,240.04,240.62
1991/11/19,231000,2040941,1.62,0.6733,242.24,240.62,242.24,242.24
1991/11/20,232500,1929087,2.26,0.933,244.5,242.24,244.5,244.5
1991/11/21,215500,2030500,1.81,0.7403,246.31,244.5,246.26,246.31
1991/11/22,213300,1954544,2.22,0.9013,248.53,246.31,248.24,248.53
1991/11/25,233100,1963992,2.32,0.9335,250.85,248.53,250.84,250.85
1991/11/26,245400,2326565,2.12,0.8451,252.97,250.85,252.9,252.97
1991/11/27,212000,1756893,2.48,0.9804,255.45,252.97,255.27,255.45
1991/11/28,250200,2251847,1.9,0.7438,257.35,255.45,257.28,257.35
1991/11/29,3369500,28453937,2.25,0.8743,259.85,257.35,259.68,259.6
1991/12/2,1912800,16310190,2.59,0.9977,262.19,259.67,261.78,262.19
1991/12/3,110100,1207594,2.62,0.9993,264.81,262.19,264.64,264.81
1991/12/4,74200,903324,0.96,0.3625,265.77,264.81,265.53,265.77
1991/12/5,205000,2100256,0.89,0.3349,266.66,265.77,266.48,266.66
1991/12/6,161300,1798852,2.69,1.0088,269.35,266.66,269.34,269.35
1991/12/9,163100,1648764,0.92,0.3416,270.27,269.35,270.27,270.27
1991/12/10,51600,665483,2.64,0.9768,272.91,270.27,270.27,272.91
1991/12/11,66900,859049,0.8,0.2931,273.71,272.91,273.53,273.71
1991/12/12,157700,1644190,0.7,0.2557,274.41,273.71,274.41,274.41
1991/12/13,74600,962311,2.59,0.9438,277,274.41,276.81,277
1991/12/16,58000,817004,0.85,0.3069,277.85,277,277.53,277.85
1991/12/17,49300,754992,0.83,0.2987,278.68,277.85,278.67,278.68
1991/12/18,76000,893281,0.83,0.2978,279.51,278.68,279.32,279.51
1991/12/19,109400,1242701,0.66,0.2361,280.17,279.51,279.98,280.17
1991/12/20,439300,6268733,2.66,0.9494,282.83,280.63,282.83,282.83
1991/12/23,104600,1182123,2.82,0.9971,285.65,282.83,285.65,285.65
1991/12/24,48600,593373,0.57,0.1995,286.22,285.65,285.74,286.22
1991/12/25,57300,873628,0.93,0.3249,287.15,286.22,287.09,287.15
1991/12/26,116800,1422421,0.88,0.3065,288.03,287.15,288.03,288.03
1991/12/27,155100,1789522,2.82,0.9791,290.85,288.03,290.65,290.85
1991/12/30,116500,1881075,0.86,0.2957,291.71,290.85,291.71,291.71
1991/12/31,58400,858863,1.04,0.3565,292.75,291.71,292.48,292.75
1992/1/2,92800,1339598,1,0.3416,293.75,292.76,293.74,293.75
1992/1/3,143600,1842222,2.77,0.943,296.52,293.75,296.24,296.52
1992/1/6,340000,4236024,1.16,0.3912,297.68,296.52,297.68,297.68
1992/1/7,89200,1064008,1.09,0.3662,298.77,297.68,298.54,298.77
1992/1/8,65900,930535,0.89,0.2979,299.66,298.77,299.65,299.66
1992/1/9,94300,1244834,0.96,0.3204,300.62,299.66,300.61,300.62
1992/1/10,160500,2629590,1.21,0.4025,301.83,300.62,301.82,301.83
1992/1/13,72500,1097531,1.23,0.4075,303.06,302,302.83,303.06
1992/1/14,63200,858530,2.68,0.8843,305.74,303.06,304.77,305.74
1992/1/15,25900,314974,0.89,0.2911,306.63,305.74,306.62,306.63
1992/1/16,37800,488305,0.22,0.0717,306.85,306.63,306.85,306.85
1992/1/17,25000,321916,0.53,0.1727,307.38,306.85,307.37,307.38
1992/1/20,44500,502999,0.01,0.0033,307.39,307.38,307.38,307.39
1992/1/21,53400,650501,0.48,0.1562,307.87,307.39,307.87,307.87
1992/1/22,31200,439920,0.08,0.026,307.95,307.87,307.95,307.95
1992/1/23,41300,583190,0.58,0.1883,308.53,307.95,308.53,308.53
1992/1/24,72200,1004033,0.52,0.1685,309.05,308.53,309.05,309.05
1992/1/27,56200,750773,2.56,0.8283,311.61,309.05,311.6,311.61
1992/1/28,66400,822810,0.23,0.0738,311.84,311.61,311.67,311.84
1992/1/29,40100,450211,0.58,0.186,312.58,311.84,312.41,312.42
1992/1/30,39100,543800,0.31,0.0992,312.73,312.42,312.73,312.73
1992/1/31,35400,586786,0.51,0.1631,313.24,312.73,313.24,313.24
1992/2/3,30500,583325,0.94,0.3001,314.18,313.24,314.18,314.18
1992/2/7,32700,527451,0.54,0.1719,314.72,314.18,314.72,314.72
1992/2/10,35400,586553,0.84,0.2669,315.56,314.72,315.55,315.56
1992/2/11,29600,460159,0.87,0.2757,316.43,315.56,316.12,316.43
1992/2/12,27000,397279,0.01,0.0032,316.44,316.43,316.43,316.44
1992/2/13,102000,1686917,0.6,0.1896,317.57,317.04,317.24,317.04
1992/2/14,45700,770875,2.64,0.8327,319.68,317.04,319.45,319.68
1992/2/17,636900,13782082,0.09,0.0282,319.77,319.68,319.77,319.77
1992/2/18,740700,12655298,17.34,5.4226,339.16,319.77,338.98,337.11
1992/2/19,940100,16501609,5.3,1.5722,342.41,337.11,340.5,342.41
1992/2/20,1034100,20004752,5.58,1.6296,348.01,342.41,345.22,347.99
1992/2/21,1158200,19254248,11.6,3.3334,359.93,347.99,358.91,359.59
1992/2/24,3015700,18038445,0.91,0.2531,361.62,359.59,361.11,360.5
1992/2/25,486200,8037606,-0.13,-0.0361,361.29,357.07,359.66,360.37
1992/2/26,575300,8082674,-0.27,-0.0749,360.76,359.27,359.85,360.1
1992/2/27,952400,17931365,2.35,0.6526,363.03,360.1,361,362.45
1992/2/28,986200,26401859,2.21,0.6097,364.67,362.45,364.15,364.66
1992/3/2,340500,5644321,0.73,0.2002,365.39,364.66,365.15,365.39
1992/3/3,298900,3366071,1.61,0.4406,367.25,365.39,366.79,367
1992/3/4,561400,10365269,1.32,0.3597,368.32,366.95,367.56,368.32
1992/3/5,836000,14928647,1.44,0.391,369.88,368.11,369.31,369.76
1992/3/6,523700,9958408,2,0.5409,371.76,369.76,370.79,371.76
1992/3/9,2096800,22273776,1.77,0.4761,374.06,371.88,372.26,373.53
1992/3/10,501100,7452592,1.7,0.4551,375.23,373.53,374.48,375.23
1992/3/11,400100,11238040,0.91,0.2425,376.25,374.98,375.87,376.14
1992/3/12,1032600,31594198,0.78,0.2074,377.57,376.14,377.55,376.92
1992/3/13,252700,4487903,-0.54,-0.1433,377.19,376.38,376.58,376.38
1992/3/16,264600,2265997,0.67,0.178,377.42,376.38,377,377.05
1992/3/17,89000,1340086,0.44,0.1167,377.84,377.03,377.5,377.49
1992/3/18,402800,2252891,0.17,0.045,378.32,377.49,377.94,377.66
1992/3/19,1362800,35111209,-0.35,-0.0927,377.96,376.21,377.26,377.31
1992/3/20,316000,7844940,0.68,0.1802,378.03,377.31,377.91,377.99
1992/3/23,1029000,24375080,0.9,0.2381,379.04,377.45,378.61,378.89
1992/3/24,437800,7016716,-0.2,-0.0528,379.5,378.05,378.53,378.69
1992/3/25,1182000,21445413,-0.57,-0.1505,379.02,378.12,378.33,378.12
1992/3/26,1022500,24177846,1.01,0.2671,379.34,377.64,379.29,379.13
1992/3/27,189200,5469466,1.64,0.4326,380.79,379.13,379.65,380.77
1992/3/30,1265500,40359446,0.67,0.176,381.56,380.76,381.54,381.44
1992/3/31,1739100,53853180,-0.2,-0.0524,382.06,381.24,381.87,381.24
1992/4/1,406500,7767958,-0.23,-0.0603,381.85,381.01,381.55,381.01
1992/4/2,167300,3193021,0.11,0.0289,381.58,381.01,381.47,381.12
1992/4/3,170000,3377037,0.21,0.0551,381.57,381.12,381.44,381.33
1992/4/6,529800,14543601,0.14,0.0367,382.08,381.33,381.97,381.47
1992/4/7,1061300,30266448,0.46,0.1206,382.1,381.47,381.95,381.93
1992/4/8,186600,5277806,0.5,0.1309,382.59,381.92,382.53,382.43
1992/4/9,316800,7148212,-0.78,-0.204,382.88,381.65,381.93,381.65
1992/4/10,706600,13499395,0.38,0.0996,382.04,381.2,381.52,382.03
1992/4/13,2059300,52440252,9.08,2.3768,392.28,382.03,387.27,391.11
1992/4/14,941500,25184919,9.5,2.429,400.61,391.1,393.1,400.61
1992/4/15,1056600,25157481,6.11,1.5252,406.72,398.23,400.35,406.72
1992/4/16,3921100,57466537,3.83,0.9417,410.61,403.52,404.07,410.55
1992/4/17,1567800,45102529,3.87,0.9426,414.42,406.19,408.56,414.42
1992/4/20,1017000,23206812,-0.57,-0.1375,420.99,413.64,417.19,413.85
1992/4/21,5125700,72181075,-3.79,-0.9158,421.55,402.89,417.99,410.06
1992/4/22,5059600,73539966,-10.18,-2.4826,410.06,399.87,400.12,399.88
1992/4/23,5471800,71062030,7.37,1.8431,408.86,394.6,407.13,407.25
1992/4/24,3470600,47646455,7.15,1.7557,415.05,397.74,405.88,414.4
1992/4/27,3725700,53584928,10.18,2.4566,424.92,413.47,422.45,424.58
1992/4/28,4239200,53950373,11.51,2.7109,436.31,424.58,434.9,436.09
1992/4/29,5289900,66766725,8.07,1.8505,446.12,436.09,445.25,444.16
1992/4/30,4570400,52587303,1.22,0.2747,448.94,433.66,435.73,445.38
1992/5/4,6436200,101358171,8.24,1.8501,456.24,445.38,454.86,453.62
1992/5/5,4935900,78293128,-4.41,-0.9722,455.36,439.96,447.42,449.21
1992/5/6,3368700,54371218,0.75,0.167,454.08,446.39,449.78,449.96
1992/5/7,3441400,51743917,4.69,1.0423,457.05,449.55,452.86,454.65
1992/5/8,4863400,84729008,13.46,2.9605,468.42,454.65,461.05,468.11
1992/5/11,3095000,60653968,23.39,4.9967,491.5,468.11,483.29,491.5
1992/5/12,3327800,65369229,15.03,3.058,506.68,491.5,502.8,506.53
1992/5/13,3389700,64664418,7.51,1.4826,517.86,499.4,505.27,514.04
1992/5/14,3301000,60063574,9.32,1.8131,523.5,511.91,514.48,523.36
1992/5/15,6328300,75109304,20.99,4.0106,544.56,523.36,529.39,544.35
1992/5/18,2999200,61340826,27.47,5.0464,571.85,544.35,560.09,571.82
1992/5/19,4779000,58722429,26.29,4.5976,598.11,571.82,590.41,598.11
1992/5/20,6564600,119286157,18.88,3.1566,623.88,598.11,617.28,616.99
1992/5/21,8965700,181277356,649.5,105.2691,1334.98,604.01,1260.32,1266.49
1992/5/22,9372500,204173234,73.5,5.8034,1349.71,1262.44,1306.37,1339.99
1992/5/25,8896900,222429087,81.58,6.0881,1428.79,1339.99,1411.98,1421.57
1992/5/26,6812800,149448662,-120.22,-8.4568,1429.01,1291,1332.39,1301.35
1992/5/27,6452800,138824387,-108.18,-8.3129,1285.61,823.36,1250.56,1193.17
1992/5/28,4838900,117388178,-33,-2.7657,1184.18,1114.94,1123.04,1160.17
1992/5/29,5161500,135997229,74.54,6.4249,1253.37,1154.01,1243.65,1234.71
1992/6/1,3939400,105366093,-51.47,-4.1686,1249.58,1129.28,1175.69,1183.24
1992/6/2,3403300,84509556,-42.22,-3.5682,1184.28,1138.58,1155.88,1141.02
1992/6/3,4100200,91844888,-81.95,-7.1822,1141.02,1033.47,1075.9,1059.07
1992/6/4,4318400,94263229,45.39,4.2858,1118.93,1050.45,1087.49,1104.46
1992/6/5,4400700,100847244,1.3,0.1177,1143.07,1099.91,1125.01,1105.76
1992/6/8,2874700,63968818,-12.3,-1.1124,1121.41,1085.19,1092.07,1093.46
1992/6/9,3510000,78762151,33.16,3.0326,1144.39,1079.65,1116.92,1126.62
1992/6/10,5873200,140149767,60.4,5.3612,1206.51,1134.73,1199.23,1187.02
1992/6/11,3489700,85107111,-8.72,-0.7346,1188.68,1172.09,1179.28,1178.3
1992/6/12,4720200,104835184,-6.59,-0.5593,1178.3,1153.97,1164.12,1171.71
1992/6/15,3774700,78204178,0.14,0.0119,1181.86,1152.69,1174.41,1171.85
1992/6/16,3515800,85477151,-5.15,-0.4395,1171.75,1164.24,1171.75,1166.7
1992/6/17,3475500,84383974,2.87,0.246,1186.59,1166.26,1171.29,1169.57
1992/6/18,2910100,61629572,-1.14,-0.0975,1172.86,1158.32,1167.16,1168.43
1992/6/19,2514600,55724545,3.51,0.3004,1171.94,1161.8,1169.97,1171.94
1992/6/22,2792400,64265464,-2.04,-0.1741,1180.21,1165.74,1173.68,1169.9
1992/6/23,1949000,44559364,-11.73,-1.0026,1172.46,1154.62,1162.83,1158.17
1992/6/24,1697500,36497766,-7.11,-0.6139,1158.17,1144.46,1150.89,1151.06
1992/6/25,1984600,50127998,9.17,0.7967,1160.23,1148.02,1153.48,1160.23
1992/6/26,2906100,64137810,4.44,0.3827,1207.82,1160.23,1164.29,1164.67
1992/6/29,5361000,102578796,4.84,0.4156,1173.49,1156.68,1168.89,1169.51
1992/6/30,5897600,147621709,21.68,1.8538,1193.16,1169.51,1186.62,1191.19
1992/7/1,5833000,112406302,2.99,0.251,1215.13,1182.05,1199.54,1194.18
1992/7/2,4651200,92341060,-6.7,-0.5611,1198.66,1179.86,1187.3,1187.48
1992/7/3,7524500,154763624,1.68,0.1415,1193.39,1183.96,1189.09,1189.16
1992/7/6,6378200,178472998,11.85,0.9965,1215.24,1190.27,1197.76,1201.01
1992/7/7,6882600,188306233,5.45,0.4538,1206.91,1195.81,1201.01,1206.46
1992/7/8,6804300,138880316,-20.96,-1.7373,1211.27,1182.72,1192.37,1185.5
1992/7/9,5321600,130815440,-6.97,-0.5879,1187.18,1168.78,1172.44,1178.53
1992/7/10,5814900,134101378,10.09,0.8562,1192.98,1166.45,1175.14,1188.62
1992/7/13,5159500,123468475,-52.29,-4.3992,1198.9,1131.21,1156.83,1136.33
1992/7/14,4446200,95340924,-22.28,-1.9607,1139.96,1110.19,1124.65,1114.05
1992/7/15,4481200,121584360,-6.36,-0.5709,1135.57,1100.16,1107.18,1107.69
1992/7/16,5046400,151032608,16.95,1.5302,1214.83,1108.23,1114.13,1124.64
1992/7/17,6267100,115821091,0.92,0.0818,1134.32,1116.14,1121.49,1125.56
1992/7/20,3169900,67313538,-26.74,-2.3757,1126.96,1094.81,1100.6,1098.82
1992/7/21,3591200,66221851,-16.43,-1.4952,1096.49,1079.75,1087.61,1082.39
1992/7/22,4734700,105623180,-46.73,-4.3173,1081.81,1034.91,1059.22,1035.66
1992/7/23,7701400,137013298,-21.09,-2.0364,1033.75,961.61,1020.07,1014.57
1992/7/24,5715500,100041780,127.45,12.562,1178.9,1014.08,1165.89,1142.02
1992/7/27,5956000,122257738,7.31,0.6401,1178.81,1108.05,1169.42,1149.33
1992/7/28,7838700,105616882,-43.38,-3.7744,1148.63,1102.02,1126.88,1105.95
1992/7/29,6898700,85225679,-18.83,-1.7026,1108.06,1047.03,1078.31,1087.12
1992/7/30,9910800,88690330,-29.72,-2.7338,1087.36,1043.79,1067.45,1057.4
1992/7/31,8714900,77149541,-5.33,-0.5041,1052.07,1032.54,1045.67,1052.07
1992/8/3,6010300,73754403,-20.52,-1.9504,1060.36,1026.83,1034.7,1031.55
1992/8/4,5247200,63035097,4.08,0.3955,1036.33,1016.16,1018.3,1035.63
1992/8/5,6114600,76139993,-23.08,-2.2286,1038.3,1011.66,1015.76,1012.55
1992/8/6,7255500,108106841,-10.38,-1.0251,1010.76,983.22,988.38,1002.17
1992/8/7,7825600,101706996,3.06,0.3053,1006.11,995.71,1003.22,1005.23
1992/8/10,8178100,111257788,-41.14,-4.0926,1006.64,956.55,992.73,964.09
1992/8/11,10699900,153828826,-100.68,-10.443,961.61,797.6,926.81,863.41
1992/8/12,14483100,188801201,-82.2,-9.5204,843.3,627.36,675,781.21
1992/8/13,11559400,171260116,69.73,8.9259,890.06,745.62,797.17,850.94
1992/8/14,10440700,159447575,7.44,0.8743,900.51,818.12,857.1,858.38
1992/8/17,11335700,190291936,81.08,9.4457,940.76,858.38,898.66,939.46
1992/8/18,14849400,259401684,-6.02,-0.6408,999.69,921.98,954.89,933.44
1992/8/19,7595200,131836239,6.07,0.6503,951.16,888.23,920.66,939.51
1992/8/20,16056500,177488020,-7.19,-0.7653,946.73,918.65,930.7,932.32
1992/8/21,17056700,189594667,-16.07,-1.7237,938.37,912.89,916.99,916.25
1992/8/24,9934700,155058343,-32.15,-3.5089,920.85,881.33,888.95,884.1
1992/8/25,8466200,135092147,-34.53,-3.9057,887.49,848.05,868.1,849.57
1992/8/26,12615300,153392995,27.68,3.2581,877.25,827.36,841.42,877.25
1992/8/27,5425800,89723328,-13.48,-1.5366,880.02,861.64,874.75,863.77
1992/8/28,7488400,95684135,-15.57,-1.8026,866.98,825.01,851.6,848.2
1992/8/31,5429600,77675193,-24.93,-2.9392,848.4,823.02,833.5,823.27
1992/9/1,7869400,87529173,1.69,0.2053,832.84,807.37,826.96,824.96
1992/9/2,9392400,140242144,-37.29,-4.5202,826.68,783.96,803.83,787.67
1992/9/3,16373000,206650590,-23.56,-2.9911,781.33,742.74,749.22,764.11
1992/9/4,9877200,130811504,-10.53,-1.3781,776.18,749.46,759.54,753.58
1992/9/7,8710500,135455443,-50.75,-6.7345,788.15,700.79,745.69,702.83
1992/9/8,10063400,130824891,-62.71,-8.9225,702.83,595.42,653.36,640.12
1992/9/9,11190800,131749927,-4.38,-0.6842,643.77,608.06,613.44,635.74
1992/9/10,11310900,142572834,57.04,8.9722,695.18,622.01,643.21,692.78
1992/9/11,11729400,165860417,83.51,12.0543,789.18,719.39,773.22,776.29
1992/9/14,13727000,195830027,-41.31,-5.3215,793.36,714.93,762.82,734.98
1992/9/15,11937300,157671772,3.18,0.4327,751.22,694.32,727.11,738.16
1992/9/16,14392600,203054668,30.88,4.1834,776.68,738.16,762.29,769.04
1992/9/17,9418100,144745021,-7.32,-0.9518,779.56,751.08,770.65,761.72
1992/9/18,6170700,81858483,-7.32,-0.961,761.72,715.89,715.89,754.4
1992/9/21,8172800,116545250,-20.96,-2.7784,760.13,730.3,740.97,733.44
1992/9/22,6955200,91083474,-10.74,-1.4643,736.9,716.23,730.71,722.7
