date,turnoverVol,CHG,CHGPct,openIndex,highestIndex,lowestIndex,closeIndex
2010/1/4,3991400000,17.89001,1.6043,1116.56006,1133.87,1116.56006,1132.98999
2010/1/5,2491020000,3.53003,0.3116,1132.66003,1136.63,1129.66003,1136.52002
2010/1/6,4972660000,0.61999,0.0546,1135.70996,1139.18994,1133.94995,1137.14001
2010/1/7,5270680000,4.54993,0.4001,1136.27002,1142.45996,1131.31995,1141.68994
2010/1/8,4389590000,3.29004,0.2882,1140.52002,1145.39001,1136.21997,1144.97998
2010/1/11,4255780000,2,0.1747,1145.95996,1149.73999,1142.02002,1146.97998
2010/1/12,4716160000,-10.76001,-0.9381,1143.81006,1143.81006,1131.77002,1136.21997
2010/1/13,4170360000,9.46008,0.8326,1137.31006,1148.40002,1133.18005,1145.68005
2010/1/14,3915200000,2.77991,0.2426,1145.68005,1150.41003,1143.80005,1148.45996
2010/1/15,4758730000,-12.42993,-1.0823,1147.71997,1147.77002,1131.39001,1136.03003
2010/1/19,4724830000,14.19995,1.25,1136.03003,1150.44995,1135.77002,1150.22998
2010/1/20,4810560000,-12.18994,-1.0598,1147.94995,1147.94995,1129.25,1138.04004
2010/1/21,6874290000,-21.56006,-1.8945,1138.68005,1141.57996,1114.83997,1116.47998
2010/1/22,6208650000,-24.71997,-2.2141,1115.48999,1115.48999,1090.18005,1091.76001
2010/1/25,4481390000,5.02002,0.4598,1092.40002,1102.96997,1092.40002,1096.78003
2010/1/26,4731910000,-4.60999,-0.4203,1095.80005,1103.68994,1089.85999,1092.17004
2010/1/27,5319120000,5.32996,0.488,1091.93994,1099.51001,1083.10999,1097.5
2010/1/28,5452400000,-12.96997,-1.1818,1096.93005,1100.21997,1078.45996,1084.53003
2010/1/29,5412850000,-10.66003,-0.9829,1087.60999,1096.44995,1071.58997,1073.87
2010/2/1,4077610000,15.31994,1.4266,1073.89001,1089.38,1073.89001,1089.18994
2010/2/2,4749540000,14.13001,1.2973,1090.05005,1104.72998,1087.95996,1103.31995
2010/2/3,4285450000,-6.03992,-0.5474,1100.67004,1102.71997,1093.96997,1097.28003
2010/2/4,5859690000,-34.17004,-3.1141,1097.25,1097.25,1062.78003,1063.10999
2010/2/5,6438900000,3.07995,0.2897,1064.12,1067.13,1044.5,1066.18994
2010/2/8,4089820000,-9.44995,-0.8863,1065.51001,1071.19995,1056.51001,1056.73999
2010/2/9,5114260000,13.78003,1.304,1060.06006,1079.28003,1060.06006,1070.52002
2010/2/10,4251450000,-2.39002,-0.2233,1069.68005,1073.67004,1059.33997,1068.13
2010/2/11,4400870000,10.33997,0.968,1067.09998,1080.04004,1060.58997,1078.46997
2010/2/12,4160680000,-2.95996,-0.2745,1075.94995,1077.81006,1062.96997,1075.51001
2010/2/16,4080770000,19.35999,1.8001,1079.13,1095.67004,1079.13,1094.87
2010/2/17,4259230000,4.64001,0.4238,1096.14001,1101.03003,1094.71997,1099.51001
2010/2/18,3878620000,7.23999,0.6585,1099.03003,1108.23999,1097.47998,1106.75
2010/2/19,3944280000,2.42004,0.2187,1105.48999,1112.42004,1100.80005,1109.17004
2010/2/22,3814440000,-1.16003,-0.1046,1110,1112.29004,1105.38,1108.01001
2010/2/23,4521050000,-13.41003,-1.2103,1107.48999,1108.57996,1092.18005,1094.59998
2010/2/24,4168360000,10.64001,0.972,1095.89001,1106.42004,1095.5,1105.23999
2010/2/25,4521130000,-2.30005,-0.2081,1101.23999,1103.5,1086.02002,1102.93994
2010/2/26,3945190000,1.55005,0.1405,1103.09998,1107.23999,1097.56006,1104.48999
2010/3/1,3847640000,11.21997,1.0159,1105.35999,1116.10999,1105.35999,1115.70996
2010/3/2,4134680000,2.6001,0.233,1117.01001,1123.45996,1116.51001,1118.31006
2010/3/3,3951320000,0.47998,0.0429,1119.35999,1125.64001,1116.57996,1118.79004
2010/3/4,3945010000,4.17993,0.3736,1119.12,1123.72998,1116.66003,1122.96997
2010/3/5,4133000000,15.72998,1.4007,1125.12,1139.38,1125.12,1138.69995
2010/3/8,3774680000,-0.19995,-0.0176,1138.40002,1141.05005,1136.77002,1138.5
2010/3/9,5185570000,1.94995,0.1713,1137.56006,1145.37,1134.90002,1140.44995
2010/3/10,5469120000,5.16004,0.4525,1140.21997,1148.26001,1140.08997,1145.60999
2010/3/11,4669060000,4.63,0.4042,1143.95996,1150.23999,1138.98999,1150.23999
2010/3/12,4928160000,-0.25,-0.0217,1151.70996,1153.41003,1146.96997,1149.98999
2010/3/15,4164110000,0.52002,0.0452,1148.53003,1150.97998,1141.44995,1150.51001
2010/3/16,4369770000,8.94995,0.7779,1150.82996,1160.28003,1150.34998,1159.45996
2010/3/17,4963200000,6.75,0.5822,1159.93994,1169.83997,1159.93994,1166.20996
2010/3/18,4234510000,-0.38,-0.0326,1166.13,1167.77002,1161.16003,1165.82996
2010/3/19,5212410000,-5.92994,-0.5086,1166.68005,1169.19995,1155.32996,1159.90002
2010/3/22,4261680000,5.91004,0.5095,1157.25,1167.81995,1152.88,1165.81006
2010/3/23,4411640000,8.35998,0.7171,1166.46997,1174.71997,1163.82996,1174.17004
2010/3/24,4705750000,-6.45007,-0.5493,1172.69995,1173.04004,1166.01001,1167.71997
2010/3/25,5668900000,-1.98999,-0.1704,1170.03003,1180.68994,1165.08997,1165.72998
2010/3/26,4708420000,0.85999,0.0738,1167.57996,1173.93005,1161.47998,1166.58997
2010/3/29,4375580000,6.63,0.5683,1167.70996,1174.84998,1167.70996,1173.21997
2010/3/30,4085000000,0.05005,0.0043,1173.75,1177.82996,1168.92004,1173.27002
2010/3/31,4484340000,-3.83997,-0.3273,1171.75,1174.56006,1165.77002,1169.43005
2010/4/1,4006870000,8.66993,0.7414,1171.22998,1181.43005,1170.68994,1178.09998
2010/4/5,3881620000,9.33996,0.7928,1178.70996,1187.72998,1178.70996,1187.43994
2010/4/6,4086180000,2,0.1684,1186.01001,1191.80005,1182.77002,1189.43994
2010/4/7,5101430000,-6.98999,-0.5877,1188.22998,1189.59998,1177.25,1182.44995
2010/4/8,4726970000,3.98999,0.3374,1181.75,1188.55005,1175.12,1186.43994
2010/4/9,4511570000,7.93006,0.6684,1187.46997,1194.66003,1187.15002,1194.37
2010/4/12,4607090000,2.10998,0.1767,1194.93994,1199.19995,1194.70996,1196.47998
2010/4/13,5403580000,0.82007,0.0685,1195.93994,1199.04004,1188.81995,1197.30005
2010/4/14,5760040000,13.34997,1.115,1198.68994,1210.65002,1198.68994,1210.65002
2010/4/15,5995330000,1.02002,0.0843,1210.77002,1213.92004,1208.5,1211.67004
2010/4/16,8108470000,-19.54004,-1.6127,1210.17004,1210.17004,1186.77002,1192.13
2010/4/19,6597740000,5.39002,0.4521,1192.06006,1197.87,1183.68005,1197.52002
2010/4/20,5316590000,9.65002,0.8058,1199.04004,1208.57996,1199.04004,1207.17004
2010/4/21,5724310000,-1.2301,-0.1019,1207.16003,1210.98999,1198.84998,1205.93994
2010/4/22,6035780000,2.7301,0.2264,1202.52002,1210.27002,1190.18994,1208.67004
2010/4/23,5326060000,8.60999,0.7124,1207.87,1217.28003,1205.09998,1217.28003
2010/4/26,5647760000,-5.22998,-0.4296,1217.06995,1219.80005,1211.06995,1212.05005
2010/4/27,7454540000,-28.34009,-2.3382,1209.92004,1211.38,1181.62,1183.70996
2010/4/28,6342310000,7.65003,0.6463,1184.58997,1195.05005,1181.81006,1191.35999
2010/4/29,6059410000,15.42004,1.2943,1193.30005,1209.35999,1193.30005,1206.78003
2010/4/30,6048260000,-20.09009,-1.6648,1206.77002,1207.98999,1186.31995,1186.68994
2010/5/3,4938050000,15.57007,1.3121,1188.57996,1205.13,1188.57996,1202.26001
2010/5/4,6594720000,-28.66003,-2.3838,1197.5,1197.5,1168.12,1173.59998
2010/5/5,6795940000,-7.72998,-0.6587,1169.23999,1175.94995,1158.15002,1165.87
2010/5/6,10617810000,-37.71998,-3.2354,1164.38,1167.57996,1065.79004,1128.15002
2010/5/7,9472910000,-17.27002,-1.5308,1127.04004,1135.13,1094.15002,1110.88
2010/5/10,6893700000,48.84998,4.3974,1122.27002,1163.84998,1122.27002,1159.72998
2010/5/11,5842550000,-3.93994,-0.3397,1156.39001,1170.47998,1147.70996,1155.79004
2010/5/12,5225460000,15.88,1.374,1155.43005,1172.87,1155.43005,1171.67004
2010/5/13,4870640000,-14.2301,-1.2145,1170.04004,1173.56995,1156.14001,1157.43994
2010/5/14,6126400000,-21.75989,-1.88,1157.18994,1157.18994,1126.14001,1135.68005
2010/5/17,5922920000,1.25989,0.1109,1136.52002,1141.88,1114.95996,1136.93994
2010/5/18,6170840000,-16.13989,-1.4196,1138.78003,1148.66003,1117.19995,1120.80005
2010/5/19,6765800000,-5.75,-0.513,1119.56995,1124.27002,1100.66003,1115.05005
2010/5/20,8328570000,-43.46008,-3.8976,1107.33997,1107.33997,1071.57996,1071.58997
2010/5/21,5452130000,16.09997,1.5024,1067.26001,1090.16003,1055.90002,1087.68994
2010/5/24,5224040000,-14.03992,-1.2908,1084.78003,1089.94995,1072.69995,1073.65002
2010/5/25,7329580000,0.38001,0.0354,1067.42004,1074.75,1040.78003,1074.03003
2010/5/26,4521050000,-6.08008,-0.5661,1075.51001,1090.75,1065.58997,1067.94995
2010/5/27,5698460000,35.11011,3.2876,1074.27002,1103.52002,1074.27002,1103.06006
2010/5/28,4871210000,-13.65003,-1.2375,1102.58997,1102.58997,1084.78003,1089.41003
2010/6/1,5271480000,-18.70007,-1.7165,1087.30005,1094.77002,1069.89001,1070.70996
2010/6/2,5026360000,27.67004,2.5843,1073.01001,1098.56006,1072.03003,1098.38
2010/6/3,4995970000,4.44996,0.4051,1098.81995,1105.67004,1091.81006,1102.82996
2010/6/4,6180580000,-37.94996,-3.4411,1098.43005,1098.43005,1060.5,1064.88
2010/6/7,5467560000,-14.41003,-1.3532,1065.83997,1071.35999,1049.85999,1050.46997
2010/6/8,6192750000,11.53003,1.0976,1050.81006,1063.15002,1042.17004,1062
2010/6/9,5983200000,-6.31006,-0.5942,1062.75,1077.73999,1052.25,1055.68994
2010/6/10,5144780000,31.15003,2.9507,1058.77002,1087.84998,1058.77002,1086.83997
2010/6/11,4059280000,4.76001,0.438,1082.65002,1092.25,1077.12,1091.59998
2010/6/14,4425830000,-1.96998,-0.1805,1095,1105.91003,1089.03003,1089.63
2010/6/15,4644490000,25.59998,2.3494,1091.20996,1115.58997,1091.20996,1115.22998
2010/6/16,5002600000,-0.61999,-0.0556,1114.02002,1118.73999,1107.13,1114.60999
2010/6/17,4557760000,1.43005,0.1283,1115.97998,1117.71997,1105.87,1116.04004
2010/6/18,4555360000,1.46997,0.1317,1116.16003,1121.01001,1113.93005,1117.51001
2010/6/21,4514360000,-4.31006,-0.3857,1122.79004,1131.22998,1108.23999,1113.19995
2010/6/22,4514380000,-17.88989,-1.6071,1113.90002,1118.5,1094.18005,1095.31006
2010/6/23,4526150000,-3.27002,-0.2985,1095.56995,1099.64001,1085.31006,1092.04004
2010/6/24,4814830000,-18.3501,-1.6804,1090.93005,1090.93005,1071.59998,1073.68994
2010/6/25,5128840000,3.07007,0.2859,1075.09998,1083.56006,1067.89001,1076.76001
2010/6/28,3896410000,-2.19006,-0.2034,1077.5,1082.59998,1071.44995,1074.56995
2010/6/29,6136700000,-33.32996,-3.1017,1071.09998,1071.09998,1035.18005,1041.23999
2010/6/30,5067080000,-10.53003,-1.0113,1040.56006,1048.07996,1028.32996,1030.70996
2010/7/1,6435770000,-3.33996,-0.324,1031.09998,1033.57996,1010.90997,1027.37
2010/7/2,3968500000,-4.78998,-0.4662,1027.65002,1032.94995,1015.92999,1022.58002
2010/7/6,4691240000,5.48004,0.5359,1028.08997,1042.5,1018.34998,1028.06006
2010/7/7,4931220000,32.20996,3.1331,1028.54004,1060.89001,1028.54004,1060.27002
2010/7/8,4548460000,9.97998,0.9413,1062.92004,1071.25,1058.23999,1070.25
2010/7/9,3506570000,7.70996,0.7204,1070.5,1078.16003,1068.09998,1077.95996
2010/7/12,3426990000,0.79004,0.0733,1077.22998,1080.78003,1070.44995,1078.75
2010/7/13,4640460000,16.58997,1.5379,1080.65002,1099.45996,1080.65002,1095.33997
2010/7/14,4521050000,-0.16993,-0.0155,1095.60999,1099.07996,1087.68005,1095.17004
2010/7/15,4552470000,1.30994,0.1196,1094.45996,1098.66003,1080.53003,1096.47998
2010/7/16,5297350000,-31.59998,-2.8819,1093.84998,1093.84998,1063.31995,1064.88
2010/7/19,4089500000,6.37,0.5982,1066.84998,1074.69995,1061.10999,1071.25
2010/7/20,4713280000,12.22998,1.1417,1064.53003,1083.93994,1056.88,1083.47998
2010/7/21,4747180000,-13.89001,-1.282,1086.67004,1088.95996,1065.25,1069.58997
2010/7/22,4826900000,24.08007,2.2513,1072.14001,1097.5,1072.14001,1093.67004
2010/7/23,4524570000,8.98999,0.822,1092.17004,1103.72998,1087.88,1102.66003
2010/7/26,4009650000,12.34998,1.12,1102.89001,1115.01001,1101.30005,1115.01001
2010/7/27,4725690000,-1.17004,-0.1049,1117.35999,1120.94995,1109.78003,1113.83997
2010/7/28,4002390000,-7.70997,-0.6922,1112.83997,1114.66003,1103.10999,1106.13
2010/7/29,4612420000,-4.59997,-0.4159,1108.06995,1115.90002,1092.81995,1101.53003
2010/7/30,4006450000,0.06995,0.0064,1098.43994,1106.43994,1088.01001,1101.59998
2010/8/2,4144180000,24.26001,2.2023,1107.53003,1127.30005,1107.53003,1125.85999
2010/8/3,4071820000,-5.40003,-0.4796,1125.33997,1125.43994,1116.76001,1120.45996
2010/8/4,4057850000,6.78003,0.6051,1121.06006,1128.75,1119.45996,1127.23999
2010/8/5,3685560000,-1.42993,-0.1269,1125.78003,1126.56006,1118.81006,1125.81006
2010/8/6,3857890000,-4.17005,-0.3704,1122.06995,1123.06006,1107.17004,1121.64001
2010/8/9,3979360000,6.15003,0.5483,1122.80005,1129.23999,1120.91003,1127.79004
2010/8/10,3979360000,-6.72998,-0.5967,1122.92004,1127.16003,1111.57996,1121.06006
2010/8/11,4511860000,-31.59009,-2.8179,1116.89001,1116.89001,1088.55005,1089.46997
2010/8/12,4521050000,-5.85998,-0.5379,1081.47998,1086.71997,1076.68994,1083.60999
2010/8/13,3328890000,-4.35999,-0.4024,1082.21997,1086.25,1079,1079.25
2010/8/16,3142450000,0.13,0.012,1077.48999,1082.62,1069.48999,1079.38
2010/8/17,3968210000,13.16004,1.2192,1081.16003,1100.14001,1081.16003,1092.54004
2010/8/18,3724260000,1.61999,0.1483,1092.07996,1099.77002,1085.76001,1094.16003
2010/8/19,4290540000,-18.53003,-1.6935,1092.43994,1092.43994,1070.66003,1075.63
2010/8/20,3761570000,-3.94006,-0.3663,1075.63,1075.63,1063.91003,1071.68994
2010/8/23,3210950000,-4.32995,-0.404,1073.35999,1081.57996,1067.07996,1067.35999
2010/8/24,4436330000,-15.48999,-1.4512,1063.19995,1063.19995,1046.68005,1051.87
2010/8/25,4360190000,3.45996,0.3289,1048.97998,1059.38,1039.82996,1055.32996
2010/8/26,3646710000,-8.10999,-0.7685,1056.28003,1061.44995,1045.40002,1047.21997
2010/8/27,4102460000,17.37,1.6587,1049.27002,1065.20996,1039.69995,1064.58997
2010/8/30,2917990000,-15.66993,-1.4719,1062.90002,1064.40002,1048.79004,1048.92004
2010/8/31,4038770000,0.40992,0.0391,1046.88,1055.14001,1040.88,1049.32996
2010/9/1,4396880000,30.96008,2.9505,1049.71997,1081.30005,1049.71997,1080.29004
2010/9/2,3704210000,9.80994,0.9081,1080.66003,1090.09998,1080.39001,1090.09998
2010/9/3,3534500000,14.41003,1.3219,1093.60999,1105.09998,1093.60999,1104.51001
2010/9/7,3107380000,-12.67004,-1.1471,1102.59998,1102.59998,1091.15002,1091.83997
2010/9/8,3224640000,7.03003,0.6439,1092.35999,1103.26001,1092.35999,1098.87
2010/9/9,3387770000,5.31005,0.4832,1101.15002,1110.27002,1101.15002,1104.18005
2010/9/10,3061160000,5.37,0.4863,1104.56995,1110.88,1103.92004,1109.55005
2010/9/13,4521050000,12.34997,1.1131,1113.38,1123.87,1113.38,1121.90002
2010/9/14,4521050000,-0.80004,-0.0713,1121.16003,1127.35999,1115.57996,1121.09998
2010/9/15,3369840000,3.96997,0.3541,1119.43005,1126.45996,1114.63,1125.06995
2010/9/16,3364080000,-0.40992,-0.0364,1123.89001,1125.43994,1118.88,1124.66003
2010/9/17,4086140000,0.92994,0.0827,1126.39001,1131.46997,1122.43005,1125.58997
2010/9/20,3364080000,17.11999,1.521,1126.56995,1144.85999,1126.56995,1142.70996
2010/9/21,4175660000,-2.92993,-0.2564,1142.81995,1148.58997,1136.21997,1139.78003
2010/9/22,3911070000,-5.5,-0.4825,1139.48999,1144.38,1131.57996,1134.28003
2010/9/23,3847850000,-9.45007,-0.8331,1131.09998,1136.77002,1122.79004,1124.82996
2010/9/24,4123950000,23.84008,2.1194,1131.68994,1148.90002,1131.68994,1148.67004
2010/9/27,3587860000,-6.51001,-0.5667,1148.64001,1149.92004,1142,1142.16003
2010/9/28,4025840000,5.53992,0.485,1142.31006,1150,1132.08997,1147.69995
2010/9/29,3990280000,-2.96997,-0.2588,1146.75,1148.63,1140.26001,1144.72998
2010/9/30,4284160000,-3.53003,-0.3084,1145.96997,1157.16003,1136.07996,1141.19995
2010/10/1,4298910000,5.04004,0.4416,1143.48999,1150.30005,1139.42004,1146.23999
2010/10/4,3604110000,-9.20996,-0.8035,1144.95996,1148.16003,1131.87,1137.03003
2010/10/5,4068840000,23.71997,2.0861,1140.68005,1162.76001,1140.68005,1160.75
2010/10/6,4073160000,-0.78003,-0.0672,1159.81006,1162.32996,1154.84998,1159.96997
2010/10/7,3910550000,-1.90991,-0.1647,1161.56995,1163.87,1151.41003,1158.06006
2010/10/8,3871420000,7.08996,0.6122,1158.35999,1167.72998,1155.57996,1165.15002
2010/10/11,2505900000,0.16993,0.0146,1165.31995,1168.68005,1162.02002,1165.31995
2010/10/12,4076170000,4.45007,0.3819,1164.28003,1172.57996,1155.70996,1169.77002
2010/10/13,4969410000,8.32996,0.7121,1171.31995,1184.38,1171.31995,1178.09998
2010/10/14,4969410000,-4.28992,-0.3641,1177.81995,1178.89001,1166.70996,1173.81006
2010/10/15,5724910000,2.37988,0.2027,1177.46997,1181.19995,1167.12,1176.18994
2010/10/18,4450050000,8.52002,0.7244,1176.82996,1185.53003,1174.55005,1184.70996
2010/10/19,5600120000,-18.80994,-1.5877,1178.64001,1178.64001,1159.70996,1165.90002
2010/10/20,5027880000,12.27002,1.0524,1166.73999,1182.93994,1166.73999,1178.17004
2010/10/21,4625470000,2.08997,0.1774,1179.81995,1189.43005,1171.17004,1180.26001
2010/10/22,3177890000,2.81995,0.2389,1180.52002,1183.93005,1178.98999,1183.07996
2010/10/25,4221380000,2.54004,0.2147,1184.73999,1196.14001,1184.73999,1185.62
2010/10/26,4203680000,0.02001,0.0017,1184.88,1187.10999,1177.71997,1185.64001
2010/10/27,4335670000,-3.19006,-0.2691,1183.83997,1183.83997,1171.69995,1182.44995
2010/10/28,4283460000,1.33008,0.1125,1184.46997,1189.53003,1177.09998,1183.78003
2010/10/29,3537880000,-0.52002,-0.0439,1183.87,1185.45996,1179.69995,1183.26001
2010/11/1,4129180000,1.11999,0.0947,1185.70996,1195.81006,1177.65002,1184.38
2010/11/2,3866200000,9.18995,0.7759,1187.85999,1195.88,1187.85999,1193.56995
2010/11/3,4665480000,4.39001,0.3678,1193.79004,1198.30005,1183.56006,1197.95996
2010/11/4,5695470000,23.1001,1.9283,1198.33997,1221.25,1198.33997,1221.06006
2010/11/5,5637460000,4.78992,0.3923,1221.19995,1227.07996,1220.29004,1225.84998
2010/11/8,3937230000,-2.59998,-0.2121,1223.23999,1224.56995,1217.55005,1223.25
2010/11/9,4848040000,-9.84998,-0.8052,1223.58997,1226.83997,1208.93994,1213.40002
2010/11/10,4561300000,5.30994,0.4376,1213.14001,1218.75,1204.32996,1218.70996
2010/11/11,3931120000,-5.16992,-0.4242,1213.04004,1215.44995,1204.48999,1213.54004
2010/11/12,4213620000,-14.33008,-1.1808,1209.06995,1210.5,1194.07996,1199.20996
2010/11/15,3503370000,-1.45996,-0.1217,1200.43994,1207.43005,1197.15002,1197.75
2010/11/16,5116380000,-19.41003,-1.6205,1194.79004,1194.79004,1173,1178.33997
2010/11/17,3904780000,0.25,0.0212,1178.32996,1183.56006,1175.81995,1178.58997
2010/11/18,4687260000,18.09997,1.5357,1183.75,1200.29004,1183.75,1196.68994
2010/11/19,3675390000,3.04004,0.254,1196.12,1199.96997,1189.43994,1199.72998
2010/11/22,3689500000,-1.89001,-0.1575,1198.06995,1198.93994,1184.57996,1197.83997
2010/11/23,4133070000,-17.10999,-1.4284,1192.51001,1192.51001,1176.91003,1180.72998
2010/11/24,3384250000,17.62,1.4923,1183.69995,1198.62,1183.69995,1198.34998
2010/11/26,1613820000,-8.94996,-0.7469,1194.16003,1194.16003,1186.93005,1189.40002
2010/11/29,3673450000,-1.64001,-0.1379,1189.07996,1190.33997,1173.64001,1187.76001
2010/11/30,4284700000,-7.20996,-0.607,1182.95996,1187.40002,1174.14001,1180.55005
2010/12/1,4548110000,25.5199,2.1617,1186.59998,1207.60999,1186.59998,1206.06995
2010/12/2,4970800000,15.46008,1.2819,1206.81006,1221.89001,1206.81006,1221.53003
2010/12/3,3735780000,3.17993,0.2603,1219.93005,1225.56995,1216.81995,1224.70996
2010/12/6,3527370000,-1.58996,-0.1298,1223.87,1225.80005,1220.67004,1223.12
2010/12/7,6970630000,0.63,0.0515,1227.25,1235.05005,1223.25,1223.75
2010/12/8,4607590000,4.53003,0.3702,1225.02002,1228.93005,1219.5,1228.28003
2010/12/9,4522510000,4.71997,0.3843,1230.14001,1234.70996,1226.84998,1233
2010/12/10,4547310000,7.40002,0.6002,1233.84998,1240.40002,1232.57996,1240.40002
2010/12/13,4361240000,0.05994,0.0048,1242.52002,1246.72998,1240.33997,1240.45996
2010/12/14,4132350000,1.13001,0.0911,1241.83997,1246.58997,1238.17004,1241.58997
2010/12/15,4407340000,-6.35999,-0.5122,1241.57996,1244.25,1234.01001,1235.22998
2010/12/16,4736820000,7.64002,0.6185,1236.33997,1243.75,1232.84998,1242.87
2010/12/17,4632470000,1.04003,0.0837,1243.63,1245.81006,1239.87,1243.91003
2010/12/20,3548140000,3.16993,0.2548,1245.76001,1250.19995,1241.51001,1247.07996
2010/12/21,3479670000,7.52002,0.603,1249.43005,1255.81995,1249.43005,1254.59998
2010/12/22,1285590000,4.23999,0.338,1254.93994,1259.39001,1254.93994,1258.83997
2010/12/23,2515020000,-2.06995,-0.1644,1257.53003,1258.58997,1254.05005,1256.77002
2010/12/27,1992470000,0.77002,0.0613,1254.66003,1258.43005,1251.47998,1257.54004
2010/12/28,2478450000,0.96997,0.0771,1259.09998,1259.90002,1256.21997,1258.51001
2010/12/29,2214380000,1.27002,0.1009,1258.78003,1262.59998,1258.78003,1259.78003
2010/12/30,1970720000,-1.90003,-0.1508,1259.43994,1261.08997,1256.31995,1257.88
2010/12/31,1799770000,-0.23999,-0.0191,1256.76001,1259.33997,1254.18994,1257.64001
2011/1/3,4286670000,14.22999,1.1315,1257.62,1276.17004,1257.62,1271.87
2011/1/4,4796420000,-1.67005,-0.1313,1272.94995,1274.12,1262.66003,1270.19995
2011/1/5,4764920000,6.36011,0.5007,1268.78003,1277.63,1265.35999,1276.56006
2011/1/6,4844100000,-2.71008,-0.2123,1276.29004,1278.17004,1270.43005,1273.84998
2011/1/7,4963110000,-2.34998,-0.1845,1274.41003,1276.82996,1261.69995,1271.5
2011/1/10,4036450000,-1.75,-0.1376,1270.83997,1271.52002,1262.18005,1269.75
2011/1/11,4050750000,4.72998,0.3725,1272.57996,1277.25,1269.62,1274.47998
2011/1/12,4226940000,11.47998,0.9008,1275.65002,1286.87,1275.65002,1285.95996
