date,CHG,CHGPct,openIndex,highestIndex,lowestIndex,closeIndex
2010-01-04,-33.379,-1.0185,3289.75,3295.279,3243.319,3243.76
2010-01-05,38.419,1.1844,3254.468,3290.512,3221.462,3282.179
2010-01-06,-27.964,-0.852,3277.517,3295.868,3253.044,3254.215
2010-01-07,-61.439,-1.888,3253.991,3268.819,3176.707,3192.776
2010-01-08,3.221,0.1009,3177.259,3198.92,3149.017,3195.997
2010-01-11,16.753,0.5242,3301.611,3306.751,3197.328,3212.75
2010-01-12,61.216,1.9054,3205.705,3275.202,3180.085,3273.966
2010-01-13,-101.308,-3.0944,3204.976,3232.818,3165.485,3172.658
2010-01-14,42.892,1.3519,3183.381,3219.016,3165.596,3215.55
2010-01-15,8.602,0.2675,3217.19,3241.815,3197.221,3224.152
2010-01-18,12.946,0.4015,3213.637,3238.242,3202.207,3237.098
2010-01-19,9.776,0.302,3242.216,3268.806,3236.839,3246.874
2010-01-20,-95.024,-2.9266,3252.037,3255.128,3148.334,3151.85
2010-01-21,7.013,0.2225,3154.189,3176.147,3126.902,3158.863
2010-01-22,-30.275,-0.9584,3118.724,3147.829,3062.629,3128.588
2010-01-25,-34.177,-1.0924,3103.32,3136.999,3092.926,3094.411
2010-01-26,-75.017,-2.4243,3094.848,3107.198,3001.956,3019.394
2010-01-27,-32.787,-1.0859,3020.54,3028.647,2972.627,2986.607
2010-01-28,7.536,0.2523,2985.214,3006.039,2963.891,2994.143
2010-01-29,-4.851,-0.162,2979.743,3024.848,2968.453,2989.292
2010-02-01,-47.932,-1.6035,2981.374,2981.374,2912.887,2941.36
2010-02-02,-6.647,-0.226,2955.753,2990.748,2930.559,2934.713
2010-02-03,69.122,2.3553,2945.034,3005.131,2890.021,3003.835
2010-02-04,-8.527,-0.2839,2983.05,3015.126,2968.68,2995.308
2010-02-05,-55.906,-1.8665,2936.197,2959.233,2918.909,2939.402
2010-02-08,-4.228,-0.1438,2936.452,2954.266,2922.187,2935.174
2010-02-09,13.668,0.4657,2932.09,2957.474,2929.21,2948.842
2010-02-10,33.658,1.1414,2967.138,2983.179,2958.217,2982.5
2010-02-11,2.999,0.1006,2985.082,3001.636,2976.079,2985.499
2010-02-12,32.634,1.0931,2996.088,3018.858,2993.437,3018.133
2010-02-22,-14.735,-0.4882,3016.703,3026.659,3002.811,3003.398
2010-02-23,-20.823,-0.6933,2998.907,2998.907,2938.753,2982.575
2010-02-24,39.602,1.3278,2964.984,3023.739,2955.069,3022.177
2010-02-25,38.441,1.272,3026.656,3063.004,3022.373,3060.618
2010-02-26,-8.675,-0.2834,3053.498,3067.525,3041.689,3051.943
2010-03-01,35.899,1.1763,3057.006,3093.095,3054.554,3087.842
2010-03-02,-14.734,-0.4772,3089.706,3095.992,3060.956,3073.108
2010-03-03,23.897,0.7776,3074.099,3098.456,3061.467,3097.005
2010-03-04,-73.632,-2.3775,3098.069,3102.398,3016.215,3023.373
2010-03-05,7.692,0.2544,3026.639,3044.165,3011.088,3031.065
2010-03-08,22.167,0.7313,3036.415,3058.832,3030.905,3053.232
2010-03-09,15.909,0.5211,3053.26,3084.85,3028.69,3069.141
2010-03-10,-20.214,-0.6586,3067.15,3085.994,3034.739,3048.927
2010-03-11,2.355,0.0772,3050.644,3070.935,3025.309,3051.282
2010-03-12,-37.87,-1.2411,3051.474,3057.519,3011.972,3013.412
2010-03-15,-36.473,-1.2104,3010.722,3013.517,2963.494,2976.939
2010-03-16,15.902,0.5342,2974.487,2993.843,2963.438,2992.841
2010-03-17,57.638,1.9259,2999.815,3050.757,2994.893,3050.479
2010-03-18,-4.39,-0.1439,3053.158,3063.586,3035.019,3046.089
2010-03-19,21.661,0.7111,3046.749,3069.662,3031.023,3067.75
2010-03-22,6.826,0.2225,3069.66,3083.345,3061.759,3074.576
2010-03-23,-21.451,-0.6977,3076.957,3082.965,3051.211,3053.125
2010-03-24,3.683,0.1206,3058.928,3076.749,3052.213,3056.808
2010-03-25,-37.632,-1.2311,3051.356,3051.356,3012.308,3019.176
2010-03-26,40.539,1.3427,3017.215,3067.707,3009.905,3059.715
2010-03-29,64.083,2.0944,3076.048,3130.279,3071.69,3123.798
