date,turnoverVol,CHG,CHGPct,openIndex,highestIndex,lowestIndex,closeIndex
2015-06-25,71189656.0,-0.03995,-0.0011,3590.56,3651.01,3577.74,3610.91
2015-06-26,55080224.0,10.46,0.2897,3588.86,3642.85,3569.58,3621.37
2015-06-29,96489008.0,-152.47,-4.2103,3544.29,3544.29,3449.14,3468.9
2015-06-30,83126872.0,-44.6,-1.2857,3460.85,3495.01,3416.51,3424.3
2015-07-01,71979848.0,71.98,2.102,3444.2,3532.88,3437.98,3496.28
2015-07-02,46504300.0,-33.03,-0.9447,3503.11,3510.02,3461.14,3463.25
2015-07-03,41504240.0,-21.49,-0.6205,3462.76,3469.55,3422.89,3441.76
2015-07-06,80114096.0,-76.56,-2.2244,3405.71,3410.89,3358.6,3365.2
2015-07-07,72788096.0,-71.01,-2.1101,3369.98,3378.68,3291.39,3294.19
2015-07-08,65229624.0,33.31,1.0112,3297.81,3345.95,3292.6,3327.5
2015-07-09,62123612.0,92.53,2.7808,3337.17,3433.83,3337.17,3420.03
2015-07-10,76845304.0,108.78,3.1807,3474.16,3536.9,3474.16,3528.81
2015-07-13,67684776.0,61.62,1.7462,3562.39,3600.25,3561.8,3590.43
2015-07-14,48359264.0,16.76,0.4668,3588.42,3607.19,3571.72,3607.19
2015-07-15,45220780.0,16.68,0.4624,3605.21,3629.46,3597.1,3623.87
2015-07-16,57866752.0,52.54,1.4498,3638.78,3696.43,3638.78,3676.41
2015-07-17,45088012.0,-6.07,-0.1651,3683.39,3688.22,3662.22,3670.34
2015-07-20,40758732.0,16.24,0.4425,3673.0,3714.26,3673.0,3686.58
2015-07-21,40570520.0,-38.62,-1.0476,3689.62,3696.54,3640.3,3647.96
2015-07-22,40572064.0,-12.38,-0.3394,3629.53,3648.89,3623.76,3635.58
2015-07-23,37898060.0,-0.94,-0.0259,3657.36,3663.85,3620.89,3634.64
2015-07-24,41011380.0,-34.64,-0.9531,3629.14,3652.92,3597.57,3600.0
2015-07-27,58012664.0,-86.9,-2.4139,3587.95,3587.95,3513.1,3513.1
2015-07-28,43111348.0,41.01,1.1673,3531.71,3568.02,3523.45,3554.11
2015-07-29,44362064.0,21.42,0.6027,3565.14,3583.1,3545.8,3575.53
2015-07-30,53186296.0,8.26,0.231,3595.09,3599.63,3553.98,3583.79
2015-07-31,52487932.0,16.9,0.4716,3590.56,3600.69,3557.69,3600.69
2015-08-03,42893288.0,34.71,0.964,3599.21,3641.22,3587.98,3635.4
2015-08-04,53902396.0,-16.09,-0.4426,3630.65,3630.65,3602.35,3619.31
2015-08-05,55142252.0,57.44,1.587,3627.28,3680.71,3627.28,3676.75
2015-08-06,38893216.0,-8.28,-0.2252,3669.44,3686.57,3662.52,3668.47
2015-08-07,34952240.0,-30.67,-0.836,3662.63,3666.22,3636.56,3637.8
2015-08-10,30112858.0,37.14,1.0209,3650.49,3678.2,3622.33,3674.94
2015-08-11,41557128.0,-69.66,-1.8955,3666.93,3666.93,3602.26,3605.28
2015-08-12,66153588.0,-120.87,-3.3526,3579.86,3579.86,3473.2,3484.41
2015-08-13,45391560.0,31.74,0.9109,3519.51,3554.44,3508.65,3516.15
2015-08-14,36743456.0,-25.12,-0.7144,3516.76,3539.09,3476.35,3491.03
2015-08-17,39866200.0,6.87,0.1968,3509.37,3537.1,3456.61,3497.9
2015-08-18,32007900.0,-2.52,-0.072,3494.3,3510.65,3480.14,3495.38
2015-08-19,42596348.0,-65.54,-1.875,3474.91,3479.4,3429.84,3429.84
2015-08-20,59010948.0,-76.36,-2.2263,3418.11,3426.18,3347.13,3353.48
2015-08-21,75657400.0,-106.22,-3.1675,3319.35,3352.76,3247.26,3247.26
2015-08-24,143937296.0,-173.87,-5.3544,3174.93,3186.4,2973.16,3073.39
2015-08-25,106714808.0,144.62,4.7056,3105.52,3237.52,3105.48,3218.01
2015-08-26,72060008.0,-47.28,-1.4692,3187.36,3224.52,3124.77,3170.73
2015-08-27,67414128.0,110.05,3.4708,3220.11,3301.14,3220.11,3280.78
2015-08-28,43963512.0,5.81,0.1771,3285.58,3290.18,3252.52,3286.59
2015-08-31,35785644.0,-16.96,-0.516,3265.92,3277.78,3237.73,3269.63
2015-09-01,63535144.0,-80.9,-2.4743,3238.95,3238.95,3161.16,3188.73
2015-09-02,54112856.0,10.13,0.3177,3196.05,3230.61,3168.82,3198.86
2015-09-03,61689732.0,71.23,2.2267,3223.29,3296.32,3222.85,3270.09
2015-09-04,71942880.0,-89.84,-2.7473,3247.35,3247.35,3159.89,3180.25
2015-09-07,31233360.0,17.72,0.5572,3202.25,3225.46,3185.93,3197.97
2015-09-08,45586132.0,35.87,1.1216,3214.39,3275.61,3214.39,3233.84
2015-09-09,53450632.0,36.14,1.1176,3281.28,3326.86,3269.98,3269.98
2015-09-10,52516724.0,-48.84,-1.4936,3244.21,3266.72,3210.24,3221.14
2015-09-11,47876504.0,-33.2,-1.0307,3231.81,3233.48,3182.36,3187.94
2015-09-14,42598528.0,-12.32,-0.3865,3192.51,3221.44,3171.56,3175.62
2015-09-15,55602840.0,31.98,1.007,3181.88,3224.22,3158.51,3207.6
2015-09-16,52815032.0,44.19,1.3777,3232.07,3259.49,3232.07,3251.79
2015-09-17,49705832.0,4.0,0.123,3260.22,3266.93,3241.28,3255.79
2015-09-18,115655992.0,-98.49,-3.0251,3237.5,3237.5,3139.99,3157.3
2015-09-21,48432500.0,27.42,0.8685,3158.92,3199.04,3147.9,3184.72
2015-09-22,69595208.0,-108.67,-3.4122,3185.02,3185.65,3069.36,3076.05
2015-09-23,59556168.0,3.94,0.1281,3076.26,3123.59,3058.61,3079.99
2015-09-24,71055968.0,-60.65,-1.9692,3078.9,3101.06,2996.64,3019.34
2015-09-25,64140384.0,93.82,3.1073,3056.57,3130.17,3056.57,3113.16
2015-09-28,50331528.0,-73.72,-2.368,3103.43,3111.42,3030.15,3039.44
2015-09-29,55169464.0,-9.58,-0.3152,3006.46,3056.7,2987.47,3029.86
2015-09-30,55263800.0,70.81,2.3371,3043.41,3117.45,3043.41,3100.67
2015-10-01,53536472.0,-31.62,-1.0198,3113.01,3142.73,3057.82,3069.05
2015-10-02,58382816.0,19.13,0.6233,3077.06,3127.28,3036.17,3088.18
2015-10-05,56514032.0,102.21,3.3097,3111.35,3202.13,3111.35,3190.39
2015-10-06,44947932.0,29.7,0.9309,3189.5,3234.43,3166.51,3220.09
2015-10-07,58581160.0,6.31,0.196,3233.31,3270.64,3217.45,3226.4
2015-10-08,45299072.0,-1.44,-0.0446,3223.53,3233.98,3204.53,3224.96
2015-10-09,49426540.0,25.35,0.7861,3244.41,3269.58,3240.95,3250.31
2015-10-12,36404936.0,-2.98,-0.0917,3251.47,3264.49,3230.03,3247.33
2015-10-13,43966556.0,-26.05,-0.8022,3239.33,3239.33,3192.0,3221.28
2015-10-14,45496712.0,-29.71,-0.9223,3217.06,3226.55,3178.43,3191.57
2015-10-15,44969476.0,47.24,1.4801,3203.68,3245.03,3203.68,3238.81
2015-10-16,46222764.0,26.12,0.8065,3242.68,3272.62,3242.68,3264.93
2015-10-19,34947168.0,7.11,0.2178,3263.68,3294.43,3258.55,3272.04
2015-10-20,40746416.0,-16.32,-0.4988,3273.67,3281.37,3239.49,3255.72
2015-10-21,38367616.0,16.51,0.5071,3263.18,3282.96,3237.56,3272.23
2015-10-22,61257928.0,80.88,2.4717,3269.47,3362.61,3258.39,3353.11
2015-10-23,62255132.0,72.7,2.1681,3374.25,3450.61,3374.25,3425.81
2015-10-26,38103896.0,-11.21,-0.3272,3422.41,3433.72,3402.39,3414.6
2015-10-27,40078700.0,-33.59,-0.9837,3410.41,3417.02,3381.01,3381.01
2015-10-28,38536124.0,40.08,1.1854,3383.77,3429.55,3383.77,3421.09
2015-10-29,58026500.0,-7.7,-0.2251,3427.79,3435.12,3387.69,3413.39
2015-10-30,49065536.0,4.84,0.1418,3415.9,3426.87,3392.34,3418.23
2015-11-02,39136260.0,16.27,0.476,3404.38,3446.73,3382.82,3434.5
2015-11-03,56410796.0,8.18,0.2382,3433.42,3444.17,3415.11,3442.68
2015-11-04,54824244.0,-3.52,-0.1022,3451.47,3472.68,3435.51,3439.16
2015-11-05,47880520.0,8.33,0.2422,3441.92,3475.51,3421.27,3447.49
2015-11-06,54734096.0,20.72,0.601,3440.34,3485.55,3424.0,3468.21
2015-11-09,40280396.0,-49.85,-1.4373,3467.79,3474.33,3417.02,3418.36
2015-11-10,38654036.0,7.04,0.2059,3426.7,3438.27,3393.69,3425.4
2015-11-11,41842488.0,23.02,0.672,3426.3,3469.49,3426.3,3448.42
2015-11-12,52962368.0,-60.72,-1.7608,3445.75,3459.72,3381.05,3387.7
2015-11-13,44528372.0,-27.05,-0.7985,3385.52,3393.26,3326.82,3360.65
2015-11-16,34737948.0,1.58,0.047,3347.98,3378.35,3326.2,3362.23
2015-11-17,44030476.0,89.71,2.6682,3371.12,3451.94,3371.12,3451.94
2015-11-18,44935144.0,-20.02,-0.58,3449.08,3449.08,3414.9,3431.92
2015-11-19,43509404.0,17.01,0.4956,3447.01,3475.79,3437.96,3448.93
2015-11-20,46932060.0,3.52,0.1021,3452.11,3469.19,3426.78,3452.45
2015-11-23,34734696.0,-7.19,-0.2083,3449.64,3457.69,3422.93,3445.26
2015-11-24,43200736.0,-35.66,-1.035,3440.57,3440.57,3375.84,3409.6
2015-11-25,51150096.0,52.46,1.5386,3410.6,3472.7,3402.83,3462.06
2015-11-26,31163210.0,36.56,1.056,3458.4,3507.46,3455.01,3498.62
2015-11-27,34858452.0,-9.63,-0.2753,3491.67,3512.46,3473.4,3488.99
2015-11-30,42198600.0,17.46,0.5004,3486.17,3524.04,3471.48,3506.45
2015-12-01,39776616.0,-26.81,-0.7646,3509.9,3520.03,3468.78,3479.64
2015-12-02,39659784.0,-10.98,-0.3155,3482.93,3499.06,3463.33,3468.66
2015-12-03,87114744.0,-125.32,-3.6129,3464.81,3514.39,3343.34,3343.34
2015-12-04,59631448.0,-12.59,-0.3766,3342.18,3348.77,3295.98,3330.75
2015-12-07,38040776.0,29.46,0.8845,3334.57,3394.93,3334.57,3360.21
2015-12-08,46772048.0,-62.75,-1.8674,3359.02,3359.02,3282.81,3297.46
2015-12-09,46773496.0,-20.25,-0.6141,3299.82,3316.44,3262.68,3277.21
2015-12-10,45094188.0,-7.24,-0.2209,3268.54,3288.08,3246.96,3269.97
2015-12-11,55580480.0,-66.76,-2.0416,3262.07,3267.51,3189.93,3203.21
2015-12-14,57532136.0,-63.97,-1.9971,3210.83,3243.98,3137.28,3139.24
