date,turnoverVol,turnoverValue,CHG,CHGPct,highestIndex,lowestIndex,openIndex,closeIndex
1991/7/31,587500.0,2485000.0,1.27,0.22,578.75,571.91,572.86,578.42
1991/8/1,737900.0,3383000.0,0.9,0.1556,580.59,574.19,574.82,579.32
1991/8/2,520900.0,2845000.0,-1.36,-0.2348,579.74,574.81,576.39,577.96
1991/8/5,560800.0,2525000.0,0.22,0.0381,579.8,575.77,578.71,578.18
1991/8/6,595600.0,2625000.0,-1.35,-0.2335,578.91,573.75,575.97,576.83
1991/8/7,522000.0,2396000.0,-0.5,-0.0867,577.42,574.39,575.48,576.33
1991/8/8,451300.0,2123000.0,-1.81,-0.3141,576.07,573.53,575.75,574.52
1991/8/9,549200.0,2466000.0,-1.72,-0.2994,575.21,570.05,574.12,572.8
1991/8/12,540900.0,2297000.0,-0.01,-0.0017,574.51,571.01,573.75,572.79
1991/8/13,544500.0,2362000.0,-1.39,-0.2427,573.02,570.94,571.71,571.4
1991/8/14,414600.0,1808000.0,-0.86,-0.1505,572.63,569.41,570.54,570.54
1991/8/15,445400.0,2079000.0,-1.83,-0.3207,572.09,567.43,570.14,568.71
1991/8/16,599200.0,2541000.0,2.25,0.3956,572.19,567.36,568.98,570.96
1991/8/19,858500.0,7549000.0,-112.94,-19.7807,459.35,446.52,450.15,458.02
1991/8/20,821000.0,5783000.0,-8.92,-1.9475,457.78,446.64,456.72,449.1
1991/8/21,910400.0,7869000.0,-3.11,-0.6925,448.86,439.33,448.14,445.99
1991/8/22,878500.0,3089000.0,-8.73,-1.9574,446.2,434.29,443.66,437.26
1991/8/23,874000.0,8561000.0,-1.63,-0.3728,438.28,425.9,434.5,435.63
1991/8/26,935500.0,6733000.0,5.78,1.3268,444.7,437.68,443.05,441.41
1991/8/27,942300.0,5925000.0,-4.33,-0.9809,441.3,434.74,439.6,437.08
1991/8/28,1022600.0,6156000.0,-1.03,-0.2357,438.58,431.88,437.35,436.05
1991/8/29,702100.0,5520000.0,-0.68,-0.1559,436.32,430.61,432.32,435.37
1991/8/30,913600.0,5408000.0,-1.6,-0.3675,435.3,431.35,432.65,433.77
1991/9/2,1029400.0,6344000.0,-1.97,-0.4542,432.86,425.82,431.03,431.8
1991/9/3,1758800.0,8263000.0,-2.47,-0.572,432.61,425.48,430.07,429.33
1991/9/4,783400.0,4893000.0,-3.34,-0.778,429.25,422.24,427.41,425.99
1991/9/5,1646800.0,9961000.0,-6.41,-1.5047,424.37,414.21,423.2,419.58
1991/9/6,2505800.0,7749000.0,-17.08,-4.0707,415.45,397.67,414.52,402.5
1991/9/9,2022300.0,11944000.0,7.26,1.8037,409.76,400.38,401.57,409.76
1991/9/10,1497300.0,8841000.0,0.68,0.166,412.64,403.32,407.04,410.44
1991/9/11,1424700.0,9483000.0,7.09,1.7274,418.12,407.05,407.98,417.53
1991/9/12,1258200.0,8225000.0,1.51,0.3617,420.12,414.44,416.57,419.04
1991/9/13,1552400.0,13497000.0,-0.53,-0.1265,419.53,413.4,417.66,418.51
1991/9/16,1107900.0,5222000.0,-4.65,-1.1111,415.57,409.68,414.03,413.86
1991/9/17,763900.0,6119000.0,-1.35,-0.3262,413.87,409.4,410.99,412.51
1991/9/18,753900.0,5805000.0,-1.51,-0.3661,412.49,407.84,409.97,411.0
1991/9/19,878400.0,7064000.0,-2.82,-0.6861,411.44,405.32,410.21,408.18
1991/9/20,579800.0,4868000.0,-0.64,-0.1568,409.21,405.38,406.92,407.54
1991/9/23,551700.0,4424000.0,0.9,0.2208,408.44,406.34,406.77,408.44
1991/9/24,444300.0,3274000.0,-1.48,-0.3624,408.03,405.43,407.38,406.96
1991/9/25,724500.0,5012000.0,2.07,0.5086,411.97,404.85,405.78,409.03
1991/9/26,516200.0,3117000.0,1.29,0.3154,410.62,406.1,407.03,410.32
1991/9/27,716400.0,4543000.0,3.46,0.8432,415.96,408.82,410.34,413.78
1991/10/3,1252800.0,7830000.0,28.27,6.8321,452.45,416.63,417.56,442.05
1991/10/4,1683400.0,12044000.0,-3.7,-0.837,446.24,432.71,445.18,438.35
1991/10/7,2274800.0,15720000.0,52.91,12.0703,492.51,444.58,445.51,491.26
1991/10/8,4343400.0,36845000.0,95.24,19.3869,607.01,522.01,523.29,586.5
1991/10/9,6216400.0,74736000.0,126.35,21.5431,723.54,593.66,593.66,712.85
1991/10/10,5972900.0,55938000.0,-71.44,-10.0217,775.18,618.95,717.04,641.41
1991/10/11,5323200.0,49823000.0,26.58,4.144,676.18,539.88,634.4,667.99
1991/10/14,4644300.0,44653000.0,24.01,3.5944,709.01,683.87,691.93,692.0
1991/10/15,2806600.0,25372000.0,-35.19,-5.0853,696.09,646.55,692.89,656.81
1991/10/16,2748400.0,26230000.0,-8.03,-1.2226,659.5,632.3,659.2,648.78
1991/10/17,3658900.0,32639000.0,23.35,3.5991,672.98,642.69,646.93,672.13
1991/10/18,3184900.0,32701000.0,3.73,0.555,697.23,669.15,673.64,675.86
1991/10/21,2025200.0,21955000.0,-4.96,-0.7339,681.39,665.44,673.17,670.9
1991/10/22,1933400.0,20178000.0,-11.67,-1.7395,672.47,656.15,671.54,659.23
1991/10/23,2269300.0,23377000.0,6.64,1.0072,667.23,648.67,658.18,665.87
1991/10/24,2327200.0,25201000.0,7.1,1.0663,680.14,664.82,666.11,672.97
1991/10/25,1943500.0,20569000.0,2.14,0.318,676.89,669.27,674.29,675.11
1991/10/28,2580400.0,29911000.0,32.82,4.8614,721.57,673.92,680.83,707.93
1991/10/29,3369100.0,38326000.0,18.02,2.5454,745.3,707.67,708.26,725.95
1991/10/30,4321400.0,42670000.0,7.75,1.0676,738.45,721.87,727.45,733.7
1991/10/31,4605800.0,48285000.0,46.11,6.2846,788.95,735.63,736.81,779.81
1991/11/1,3486000.0,55593000.0,53.99,6.9235,854.64,783.42,783.42,833.8
1991/11/4,5655700.0,74690000.0,84.31,10.1115,925.98,839.92,840.56,918.11
1991/11/5,6157800.0,90363000.0,0.94,0.1024,972.63,909.35,921.24,919.05
1991/11/6,5949300.0,73516000.0,-39.85,-4.336,922.04,827.08,920.76,879.2
1991/11/7,5284000.0,74262000.0,20.39,2.3192,936.83,880.01,880.78,899.59
1991/11/8,6108400.0,77393000.0,15.24,1.6941,918.49,879.56,901.82,914.83
1991/11/12,6240600.0,80558000.0,207.9,22.7258,1131.59,969.51,969.51,1122.72
1991/11/13,5878600.0,110416000.0,27.25,2.4271,1192.05,1124.42,1124.42,1149.97
1991/11/14,4935100.0,88230000.0,36.87,3.2062,1206.32,1149.71,1152.56,1186.84
1991/11/15,4891700.0,93843000.0,-44.78,-3.773,1202.38,1136.1,1185.23,1142.06
1991/11/18,4053700.0,59338000.0,-224.45,-19.6531,1109.55,895.86,1109.55,917.61
1991/11/19,4064500.0,65469000.0,147.89,16.1169,1068.79,911.94,918.14,1065.5
1991/11/20,3596700.0,62234000.0,-3.28,-0.3078,1109.49,1041.78,1065.19,1062.22
1991/11/21,2658200.0,41734000.0,-52.31,-4.9246,1068.11,983.85,1065.49,1009.91
1991/11/22,2832200.0,46723000.0,29.62,2.9329,1048.36,998.35,1011.43,1039.53
1991/11/25,2268400.0,34918000.0,-44.6,-4.2904,1037.58,978.18,1036.06,994.93
1991/11/26,3264200.0,47775000.0,-65.34,-6.5673,997.78,921.12,997.34,929.59
1991/11/27,3067200.0,46175000.0,45.72,4.9183,978.57,917.74,931.39,975.31
1991/11/28,3116900.0,49490000.0,-39.26,-4.0254,996.3,931.32,976.18,936.05
1991/11/29,2956900.0,39676000.0,-36.25,-3.8727,935.91,867.16,932.27,899.8
1991/12/2,3244800.0,41969000.0,-26.54,-2.9495,887.04,852.03,881.63,873.26
1991/12/3,2180200.0,30593000.0,36.21,4.1465,918.36,865.48,871.53,909.47
1991/12/4,2171100.0,30244000.0,2.09,0.2298,929.5,902.58,912.01,911.56
1991/12/5,1070800.0,14448000.0,-32.54,-3.5697,913.13,869.25,912.74,879.02
1991/12/6,1680400.0,21880000.0,14.56,1.6564,897.52,868.81,880.0,893.58
1991/12/9,2178200.0,28262000.0,18.21,2.0379,916.92,896.83,902.8,911.79
1991/12/10,2084900.0,28644000.0,10.6,1.1625,924.76,908.96,910.95,922.39
1991/12/11,1578500.0,22094000.0,-6.23,-0.6754,929.12,910.96,924.09,916.16
